prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,actual_year_built,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_F,High_Springs_Main,Lugano,Magnolia_Heights,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1974,built_pre_1994_with_effective_le_1994,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1058,7.93,2412,1.0,SUWANNEE,492600,43625,2000,100,1950.0,2000,0.0,558.0,0.0,25,375085.0,10.379419158698145,-82.556669,29.881192,00016-003-001,HSBUI,False,False,False,0.75,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.827280738363624,372235.0313159794,415860.0313159794,-76739.96868402063,-2849.968684020627,76739.96868402063,2849.968684020627,0.8442144362890365
1270,2.57,2809,1.15,SUWANNEE,625300,30664,2012,100,2285.0,2005,524.0,424.0,810.0,13,500840.99999999994,3.3638218458832574,-82.573637,29.851039,00067-010-009,HSBUI,True,False,False,0.87,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,13.136979456220597,507361.708004147,538025.708004147,-87274.29199585295,6520.708004147047,87274.29199585295,6520.708004147047,0.8604281273055286
1278,7.98,2496,1.15,SUWANNEE,961100,40237,2009,100,2496.0,1998,0.0,1144.0,1395.0,16,776698.0,10.444863163481868,-82.570565,29.848695,00068-001-000,HSBUI,False,False,False,0.84,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,13.20954240081252,545545.996621095,585782.996621095,-375317.003378905,-231152.003378905,375317.003378905,231152.003378905,0.6094922449496358
1302,5.01,1784,1.0,SUWANNEE,375400,2656,2005,100,1784.0,2005,0.0,61.0,440.0,20,316434.0,6.5574892793288395,-82.56162,29.85113,00071-007-000,HSBUI,False,False,False,0.8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.726308698932435,336484.9489828579,339140.9489828579,-36259.051017142076,20050.948982857924,36259.051017142076,20050.948982857924,0.9034122242484228
1307,2.0,2508,1.15,SUWANNEE,535500,50578,2005,100,2508.0,2005,0.0,282.0,506.0,20,404597.0,2.6177601913488386,-82.575898,29.854221,00074-010-001,HSBUI,True,False,False,0.8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.952355140822858,421828.9338555027,472406.9338555027,-63093.06614449731,17231.93385550269,63093.06614449731,17231.93385550269,0.8821791481895475
1358,1.29,2587,1.15,HIGH SPRINGS,544500,10274,2015,100,2371.5,2005,0.0,488.5,529.0,10,452551.0,1.6884553234200008,-82.611009,29.84699,00090-010-004,High_Springs_Main,True,False,False,0.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,13.074977195477308,476859.5087080421,487133.5087080421,-57366.49129195791,24308.508708042093,57366.49129195791,24308.508708042093,0.8946437258182591
1359,3.89,2468,1.15,HIGH SPRINGS,481700,23270,2005,100,2468.0,2005,0.0,310.0,575.0,20,386175.0,5.0915435721734905,-82.611987,29.846721,00090-010-005,High_Springs_Main,True,False,False,0.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,13.017218309607546,450096.9619822205,473366.9619822205,-8333.038017779472,63921.96198222053,8333.038017779472,63921.96198222053,0.9827007722279854
1367,3.5,2297,1.15,HIGH SPRINGS,573800,26124,2011,100,1805.0,2006,492.0,636.0,576.0,14,461606.0,4.581080334860467,-82.611772,29.842352,00090-010-013,High_Springs_Main,True,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,13.045615529666865,463061.6741324037,489185.6741324037,-84614.32586759632,1455.6741324036848,84614.32586759632,1455.6741324036848,0.8525369015901075
1523,2.25,2596,1.0,SUWANNEE,674100,464,2008,100,2596.0,2007,0.0,525.0,2004.0,17,572521.0,2.944980215267443,-82.631114,29.840853,00165-004-000,HSBUI,False,False,False,0.83,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,13.012372485484303,447921.1473313169,448385.1473313169,-225714.8526686831,-124599.8526686831,225714.8526686831,124599.8526686831,0.6651611739079022
1526,1.35,1823,1.0,SUWANNEE,435600,7910,2015,100,1823.0,2002,0.0,124.0,441.0,10,362349.99999999994,1.766988129160466,-82.632146,29.840313,00165-007-000,HSBUI,False,False,False,0.9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.759382963130822,347800.02859907417,355710.02859907417,-79889.97140092583,-14549.971400925773,79889.97140092583,14549.971400925773,0.8165978617976909
