prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,in_subdivision,percent_good,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,A,B,C,D,E,F,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1613,1.0,2447,3.0,HIGH SPRINGS,384500,2000,100,2447.0,2000,2022,0,0.0,166.0,0.0,21,21,0,0,2.0,1885,324940.0,1.2101046212495505,-82.613159,29.840261,00181-100-017,True,0.79,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.73773977297667,340353.4015091275,342238.4015091275,-42261.59849087248,15413.401509127521,42261.59849087248,15413.401509127521,0.890086869984727
1918,0.39,1736,3.0,HIGH SPRINGS,265400,2003,100,1735.5,2003,2022,0,0.0,619.5,528.0,18,18,0,0,2.0,1102,224488.0,0.47194080228732477,-82.59068,29.83943,00236-001-006,True,0.8200000000000001,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.580985837579737,290973.0230555137,292075.0230555137,26675.02305551368,66485.02305551368,26675.02305551368,66485.02305551368,1.100508753035093
1951,1.99,1867,3.0,HIGH SPRINGS,419400,2003,100,1867.0,1988,2022,0,0.0,216.0,273.0,18,33,0,0,2.0,9316,347174.0,2.4081081962866056,-82.587335,29.839017,00236-050-000,False,0.8200000000000001,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.674837050283331,319603.69376928546,328919.69376928546,-90480.30623071454,-27570.306230714545,90480.30623071454,27570.306230714545,0.7842625030264317
2247,2.71,1570,3.0,HIGH SPRINGS,308700,2006,100,1390.0,1996,2022,0,0.0,192.0,576.0,15,25,0,0,2.0,559,261835.99999999997,3.279383523586282,-82.568756,29.83027,00248-009-000,True,0.85,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.651189458113272,312134.4982740682,312693.4982740682,3993.4982740681735,50298.4982740682,3993.4982740681735,50298.4982740682,1.01293650234554
2377,0.25,1465,3.0,HIGH SPRINGS,285400,2005,100,1465.0,2005,2022,0,0.0,214.0,412.0,16,16,0,0,2.0,1225,241364.99999999997,0.30252615531238763,-82.587945,29.83515,00257-200-005,True,0.84,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.45999097232268,257813.30355422827,259038.30355422827,-26361.696445771726,16448.303554228303,26361.696445771726,16448.303554228303,0.907632458143757
2409,5.61,1936,4.0,HIGH SPRINGS,475300,2016,100,1936.0,1995,2022,0,0.0,426.0,456.0,5,26,0,0,2.0,5468,398537.0,6.788686925209979,-82.578952,29.826687,00258-010-000,True,0.95,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,13.059852465591828,469701.4060850999,475169.4060850999,-130.59391490009148,71164.40608509991,130.59391490009148,71164.40608509991,0.9997252389755942
2532,0.46,1160,3.0,HIGH SPRINGS,250500,2006,100,1160.0,1999,2022,0,0.0,120.0,462.0,15,22,0,0,2.0,1373,211552.0,0.5566481257747933,-82.583929,29.815145,00297-020-015,True,0.85,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.352707600102432,231586.2376765232,232959.2376765232,-17540.76232347681,20034.23767652319,17540.76232347681,20034.23767652319,0.9299769967126674
2967,0.34,2044,3.0,HIGH SPRINGS,318600,1999,100,1044.0,1979,2022,0,1000.0,0.0,420.0,22,42,0,0,2.5,2707,268103.0,0.41143557122484725,-82.593134,29.83009,00500-003-000,True,0.78,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.651068015311296,312096.5940876461,314803.5940876461,-3796.40591235389,43993.59408764611,3796.40591235389,43993.59408764611,0.9880840994590273
2976,0.33,1701,3.0,HIGH SPRINGS,344300,2000,100,1701.0,1985,2022,0,0.0,130.0,552.0,21,36,0,0,2.0,14564,278091.0,0.3993345250123517,-82.593825,29.830619,00509-000-000,True,0.79,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.526819472076367,275631.32480998314,290195.32480998314,-54104.67519001686,-2459.67519001686,54104.67519001686,2459.67519001686,0.8428560116467707
2985,0.41,1798,3.0,HIGH SPRINGS,312500,2005,100,1798.0,2005,2022,0,0.0,318.0,441.0,16,16,0,0,2.0,2826,262799.0,0.4961428947123157,-82.593281,29.831494,00512-004-000,True,0.84,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.62173818250395,303075.7891747365,305901.7891747365,-6598.210825263523,40276.78917473648,6598.210825263523,40276.78917473648,0.9788857253591567
