prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1270,2.57,2809,4.0,SUWANNEE,625300,2012,100,2285.0,2005,2023,0,524.0,424.0,810.0,10,17,0,0,3.5,13228,518276.99999999994,2.980156550006972,-82.573637,29.851039,00067-010-009,HighSprings_B,True,0.9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.341410853843705,622445.1891235635,635673.1891235635,10373.189123563468,104168.18912356353,10373.189123563468,104168.18912356353,1.0165891398105924
1610,1.19,1436,3.0,HIGH SPRINGS,292100,2012,100,1436.0,2001,2023,0,0.0,64.0,300.0,10,21,0,0,2.0,1561,246724.0,1.3799168461121776,-82.613894,29.841391,00181-100-014,High_Springs_Main,True,0.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.565146239923745,286400.4370052391,287961.4370052391,-4138.562994760927,39676.43700523907,4138.562994760927,39676.43700523907,0.9858316912195791
1641,1.0,2046,3.0,HIGH SPRINGS,340300,2002,100,1727.5,2002,2023,0,0.0,510.5,480.0,20,20,0,0,2.0,4607,284648.0,1.1595939883295612,-82.616605,29.839257,00181-100-045,High_Springs_Main,True,0.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.660854141080865,315165.80395214795,319772.80395214795,-20527.19604785205,30517.80395214795,20527.19604785205,30517.80395214795,0.939679118284302
1817,0.12,1368,3.0,HIGH SPRINGS,324200,2014,100,1367.5,2014,2023,0,0.0,149.5,420.0,8,8,0,0,2.0,1378,274192.0,0.13915127859954735,-82.606959,29.841602,00207-010-003,High_Springs_Main,True,0.92,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.39506917416694,241607.3517882466,242985.3517882466,-81214.6482117534,-32584.648211753403,81214.6482117534,32584.648211753403,0.7494921400007606
1846,0.12,1264,3.0,HIGH SPRINGS,275100,2010,100,1264.0,2010,2023,0,0.0,244.0,380.0,12,12,0,0,2.0,368,233466.99999999997,0.13915127859954735,-82.606201,29.840591,00207-010-032,High_Springs_Main,True,0.88,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.314344561810763,222870.142859003,223238.142859003,-51861.85714099699,-10596.857140996959,51861.85714099699,10596.857140996959,0.8114799813122611
1875,9.21,2739,3.0,HIGH SPRINGS,456000,1980,100,2739.0,1960,2023,0,0.0,20.0,0.0,30,62,0,0,3.0,15969,371631.0,10.67986063251526,-82.601106,29.843803,00216-028-000,High_Springs_Main,True,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.794821640343013,360346.6055155381,376315.6055155381,-79684.39448446193,-11284.394484461925,79684.39448446193,11284.394484461925,0.8252535208674081
1965,0.21,1733,3.0,HIGH SPRINGS,322000,2015,100,1733.0,2015,2023,0,0.0,72.0,484.0,7,7,0,0,2.0,2247,271453.0,0.24351473754920785,-82.58751,29.831421,00236-100-013,High_Springs_Main,True,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.571709848699484,288286.44014943903,290533.44014943903,-31466.559850560967,16833.440149439033,31466.559850560967,16833.440149439033,0.9022777644392517
2026,0.23,1847,3.0,HIGH SPRINGS,329400,2016,100,1847.0,2016,2023,0,0.0,239.0,462.0,6,6,0,0,2.0,83,279907.0,0.2667066173157991,-82.586954,29.830013,00236-100-074,High_Springs_Main,True,0.94,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.632771924235731,306438.365945225,306521.365945225,-22878.634054775,26531.365945225,22878.634054775,26531.365945225,0.9305445232095476
2043,0.2,1394,3.0,HIGH SPRINGS,276900,2016,100,1394.0,2016,2023,0,0.0,188.0,400.0,6,6,0,0,1.0,1633,233731.99999999997,0.23191879766591222,-82.58615,29.830255,00236-100-091,High_Springs_Main,True,0.94,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.410651359428032,245401.60692595437,247034.60692595437,-29865.393074045627,11669.606925954402,29865.393074045627,11669.606925954402,0.8921437592125474
2052,0.21,1912,3.0,HIGH SPRINGS,332300,2017,100,1912.0,2017,2023,0,0.0,226.0,462.0,5,5,0,0,2.0,1567,280888.0,0.24351473754920785,-82.585858,29.831693,00236-100-100,High_Springs_Main,True,0.95,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.653647244060451,312902.6015876635,314469.6015876635,-17830.39841233648,32014.60158766352,17830.39841233648,32014.60158766352,0.946342466408858
