prop_id,legal_acreage_x,living_area_x,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,Total_MISC_Val,effective_age,Assessment_Val,legal_acreage_y,A,B,C,D,E,F,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,residual,residualAV,geo_id,MA,Cluster ID,Membership Probability,OBJECTID *,CENTROID_X,CENTROID_Y,property_use_cd,hood_cd,tax_area_id,legal_acreage,living_area_y,actual_age,norm_legal_acreage,norm_living_area,norm_actual_age
1610,1.19,1436,3.0,HIGH SPRINGS,167000.0,292100,2916,12,245369.0,1.19,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.88,12.50671102809291,270144.1618029971,-24775.161802997114,24775.161802997114,00181-100-014,HighSprings,B,0.75,290,-82.613894,29.841391,100,222100.04,1013,1.19,1436,23,-0.062911,-0.617676,-0.583605
1624,1.0,1903,3.0,HIGH SPRINGS,167000.0,357700,20905,19,283140.0,1.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.81,12.594756885814611,295007.7439969745,-11867.743996974488,11867.743996974488,00181-100-028,HighSprings,B,0.76,303,-82.614138,29.84265,100,222100.04,1013,1.0,1903,26,-0.083772,-0.062166,-0.424861
1714,0.24,1360,3.0,HIGH SPRINGS,180900.0,252200,2417,30,211953.0,0.24,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7,12.06418372066088,173543.52659655976,38409.473403440235,38409.473403440235,00206-010-010,HighSprings,B,0.68,347,-82.604115,29.83783,100,222100.06,1013,0.24,1360,38,-0.167216,-0.70808,0.210115
1719,0.3,1165,3.0,HIGH SPRINGS,180900.0,223300,2249,26,187556.0,0.3,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.74,12.037984003173538,169055.78076992658,18500.219230073417,18500.219230073417,00206-010-015,HighSprings,B,0.63,352,-82.60322,29.837536,100,222100.06,1013,0.3,1165,27,-0.160628,-0.940038,-0.371947
1786,0.17,1209,3.0,HIGH SPRINGS,180901.0,238500,0,2,202725.0,0.17,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.98,12.35970893257462,233213.3392153771,-30488.339215377113,30488.339215377113,00206-040-056,HighSprings,B,0.71,405,-82.606344,29.838528,100,222100.06,1013,0.17,1209,2,-0.174901,-0.887698,-1.694814
1789,0.17,1209,3.0,HIGH SPRINGS,180901.0,255000,942,1,215808.0,0.17,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.99,12.371997010820944,236096.76255934336,-20288.762559343362,20288.762559343362,00206-040-059,HighSprings,B,0.68,408,-82.607038,29.838357,100,222100.06,1013,0.17,1209,1,-0.174901,-0.887698,-1.747729
1815,0.19,1368,3.0,HIGH SPRINGS,250800.0,293700,339,13,249306.0,0.19,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.87,12.313083089225906,222589.1755373487,26716.824462651304,26716.824462651304,00207-010-001,HighSprings,B,0.71,425,-82.606751,29.841343,100,222100.06,1013,0.19,1368,13,-0.172705,-0.698563,-1.112753
1846,0.12,1264,3.0,HIGH SPRINGS,250800.0,275100,368,14,233466.99999999997,0.12,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.86,12.206022403561152,199989.95185861687,33477.0481413831,33477.0481413831,00207-010-032,HighSprings,B,0.71,456,-82.606201,29.840591,100,222100.06,1013,0.12,1264,14,-0.180391,-0.822274,-1.059838
1941,0.66,1767,3.0,HIGH SPRINGS,189800.0,280000,0,26,238000.0,0.66,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.74,12.399301147974548,242631.99437378737,-4631.994373787369,4631.994373787369,00236-027-000,HighSprings,B,0.86,517,-82.591768,29.836467,100,222135.01,1013,0.66,1767,62,-0.121102,-0.223942,1.480068
1960,0.21,1593,3.0,HIGH SPRINGS,247500.0,308600,1074,11,261236.0,0.21,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.89,12.457802254135132,257249.6399631424,3986.360036857601,3986.360036857601,00236-100-008,HighSprings,B,0.88,526,-82.58749,29.830252,100,222100.05,1013,0.21,1593,11,-0.170509,-0.43092,-1.218582
1965,0.21,1733,3.0,HIGH SPRINGS,247500.0,322000,4102,9,269597.99999999994,0.21,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.91,12.545165603527149,280734.764371019,-11136.764371019031,11136.764371019031,00236-100-013,HighSprings,B,0.89,531,-82.58751,29.831421,100,222100.05,1013,0.21,1733,9,-0.170509,-0.264386,-1.324411
2033,0.2,1484,3.0,HIGH SPRINGS,247500.0,321500,943,15,272332.0,0.2,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.85,12.34741088364621,230362.833912049,41969.16608795099,41969.16608795099,00236-100-081,HighSprings,B,0.88,598,-82.586658,29.830507,100,222100.05,1013,0.2,1484,15,-0.171607,-0.560578,-1.006923
2047,0.2,1772,3.0,HIGH SPRINGS,247500.0,331700,1180,10,280765.0,0.2,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.9,12.543910863832732,280382.7362165945,382.2637834054767,382.2637834054767,00236-100-095,HighSprings,B,0.88,612,-82.585838,29.830497,100,222100.05,1013,0.2,1772,10,-0.171607,-0.217994,-1.271497
2092,0.19,1968,3.0,HIGH SPRINGS,247500.0,355000,447,12,301302.99999999994,0.19,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.88,12.587962763667658,293010.21874904877,8292.781250951171,8292.781250951171,00236-100-140,HighSprings,B,0.88,657,-82.584738,29.830282,100,222100.05,1013,0.19,1968,12,-0.172705,0.015153,-1.165667
2179,4.0,1470,3.0,SUWANNEE,0.0,242400,12203,21,193837.0,4.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.79,12.50944653918263,270884.1558229069,-77047.15582290688,77047.15582290688,00242-001-000,HighSprings,B,0.88,727,-82.563604,29.840847,100,222100.0,1003,4.0,1470,67,0.245611,-0.577232,1.744642
2259,2.64,1456,4.0,SUWANNEE,14100.0,343400,4282,9,287608.0,2.64,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.91,12.872604993198168,389494.4881875855,-101886.48818758549,101886.48818758549,00250-001-005,HighSprings,B,0.9,768,-82.562946,29.828444,100,223101.44,1003,2.64,1456,32,0.096291,-0.593885,-0.107373
2363,0.25,1457,3.0,HIGH SPRINGS,94000.0,314600,420,14,266990.0,0.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.86,12.366019392550571,234689.67594105448,32300.324058945524,32300.324058945524,00257-030-004,HighSprings,B,0.89,819,-82.587888,29.831855,100,222100.03,1013,0.25,1457,19,-0.166118,-0.592695,-0.795264
2395,0.23,1507,3.0,HIGH SPRINGS,94002.0,270300,1484,19,228270.99999999997,0.23,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.81,12.31115225402935,222159.807176016,6111.192823983962,6111.192823983962,00257-201-023,HighSprings,B,0.89,851,-82.588809,29.835481,100,222100.03,1013,0.23,1507,19,-0.168314,-0.533219,-0.795264
2409,5.61,1936,3.0,HIGH SPRINGS,182500.0,475300,14764,8,389241.0,5.61,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.92,12.897495159172106,399310.72778613906,-10069.727786139061,10069.727786139061,00258-010-000,HighSprings,B,0.88,863,-82.578952,29.826687,100,223102.41,1013,5.61,1936,29,0.42238,-0.022912,-0.266117
2534,0.46,1452,3.0,HIGH SPRINGS,178700.0,163100,785,24,137850.0,0.46,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.76,12.262116061978078,211528.72037362904,-73678.72037362904,73678.72037362904,00297-020-017,HighSprings,B,0.87,920,-82.583299,29.815149,100,223100.01,1013,0.46,1452,24,-0.143061,-0.598643,-0.530691
2602,0.17,900,3.0,HIGH SPRINGS,73000.0,194900,173,29,165492.0,0.17,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.71,11.757756805536022,127740.58484876614,37751.41515123386,37751.41515123386,00312-008-000,HighSprings,B,0.87,958,-82.581498,29.817236,100,223100.13,1013,0.17,900,32,-0.174901,-1.255262,-0.107373
2622,0.17,956,3.0,HIGH SPRINGS,73000.0,189300,1012,14,159893.0,0.17,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.86,12.033074049519868,168227.75915879902,-8334.759158799017,8334.759158799017,00314-006-000,HighSprings,B,0.87,975,-82.582787,29.816568,100,223100.13,1013,0.17,956,40,-0.174901,-1.188649,0.315945
2817,0.16,1064,3.0,HIGH SPRINGS,64600.0,180600,0,14,153510.0,0.16,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.86,12.105113479856824,180793.98902724741,-27283.989027247415,27283.989027247415,00428-000-000,HighSprings,B,0.73,1041,-82.592483,29.819125,100,223100.12,1013,0.16,1064,33,-0.175999,-1.06018,-0.054458
2857,0.34,1002,3.0,HIGH SPRINGS,64600.0,157600,0,30,133960.0,0.34,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.7,11.872422813467729,143260.91304176537,-9300.913041765365,9300.913041765365,00450-000-000,HighSprings,B,0.81,1047,-82.589566,29.825734,100,223100.06,1013,0.34,1002,73,-0.156236,-1.133931,2.06213
2928,0.34,1312,3.0,HIGH SPRINGS,64600.0,243500,0,15,206975.0,0.34,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.85,12.300913247751657,219896.7171833204,-12921.717183320405,12921.717183320405,00491-001-000,HighSprings,B,0.76,1088,-82.591622,29.828316,100,223100.06,1013,0.34,1312,47,-0.156236,-0.765177,0.686348
2962,0.34,1273,3.0,HIGH SPRINGS,64600.0,306000,11050,14,249050.0,0.34,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.86,12.293408639772878,218252.6552611541,30797.344738845888,30797.344738845888,00499-002-000,HighSprings,B,0.87,1114,-82.592127,29.831218,100,223100.06,1013,0.34,1273,24,-0.156236,-0.811569,-0.530691
2967,0.34,2044,3.0,HIGH SPRINGS,64600.0,318600,5854,25,264956.0,0.34,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.75,12.467668240087729,259800.22261468568,5155.777385314315,5155.777385314315,00500-003-000,HighSprings,B,0.8,1119,-82.593134,29.83009,100,223100.06,1013,0.34,2044,45,-0.156236,0.105557,0.580518
3071,0.34,2120,3.0,HIGH SPRINGS,93500.0,299700,7244,29,247501.0,0.34,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.71,12.427535867782574,249580.27047516592,-2079.2704751659185,2079.2704751659185,00577-000-000,HighSprings,B,0.52,1186,-82.595294,29.826836,100,223100.07,1013,0.34,2120,68,-0.156236,0.195961,1.797556
