OBJECTID,Join_Count,TARGET_FID,Field1,prop_id,centroid_x,centroid_y,quality,actage,lotsize,effage,market_area_cd,FSP_area,FGR_area,FSP,FGR,Total_Area,livarea,SOURCE_ID,quality,actage,lotsize,FGR,livarea,Cluster_ID,Membership Probability
1,1,1,1,1027,-82.56887352,29.88587406,-0.482174075,-0.877501607,1.283453078,-0.484315965,0.436254781,-0.424528137,-1.027914836,0,0,1800,-0.01776895,1,-0.454923686,-0.47517978,0.549265065,0,-0.104352216,B1,0.982
2,1,2,2,1031,-82.56418026,29.888962,-0.482174075,-1.192218026,7.126385003,-1.391927491,0.436254781,4.015700054,-1.027914836,1,0,1806,-0.010105707,2,-0.454923686,-0.772820184,3.940390745,0,-0.096866642,B1,0.978
3,1,3,3,1037,-82.5671301,29.88297904,-0.482174075,-1.147258537,6.264844043,-1.262268702,0.436254781,8.025360663,1.15952678,1,1,2717,1.153430023,3,-0.454923686,-0.730300126,3.440368888,1,1.039692871,B1,0.988
4,1,4,4,1038,-82.56568153,29.8852003,-0.482174075,-1.012380072,0.402478863,-0.873292333,0.436254781,-0.424528137,0.570879701,0,1,1780,-0.043313093,4,-0.454923686,-0.602739953,0.037964519,1,-0.129304126,B1,0.982
5,1,5,5,1041,-82.56487258,29.88407798,-0.482174075,-0.967420583,1.309364084,-0.743633544,0.436254781,7.325688342,-1.027914836,1,0,2160,0.44202563,5,-0.454923686,-0.560219896,0.564303316,0,0.34478217,B1,0.988
6,1,6,6,1042,-82.56375165,29.88251954,-0.482174075,1.954946166,1.309364084,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,540,-1.627049981,6,-0.454923686,2.203583852,0.564303316,0,-1.676322564,B1,0.986
7,1,7,7,1055,-82.55508365,29.87907732,-0.482174075,0.336404582,2.928801979,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,2060,0.314304914,7,-0.454923686,0.672861776,1.504194026,0,0.220022618,B1,0.98
8,1,8,8,1056,-82.55084983,29.87659909,-0.482174075,0.96583742,0.068874657,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,960,-1.090622971,8,-0.454923686,1.268142584,-0.155652968,0,-1.152332448,B1,0.984
9,1,9,9,1058,-82.55666869,29.88119242,-0.482174075,-0.742623141,2.258354691,-0.095339596,0.436254781,-0.424528137,-1.027914836,0,0,2412,0.763881836,9,-0.454923686,-0.347619607,1.115079272,0,0.659176239,B1,0.982
10,1,10,10,1062,-82.55595327,29.88046996,1.318524992,-0.472866211,1.477785626,0.682613141,0.436254781,0.86717461,0.570879701,1,1,1896,0.104842938,10,1.299126896,-0.092499261,0.66205195,1,0.015416954,B1,0.978
11,1,11,11,1063,-82.55738187,29.87910087,-0.482174075,-1.776691376,1.571713023,-3.077491756,0.436254781,2.015354829,-1.027914836,1,0,1768,-0.058639579,11,-0.454923686,-1.325580933,0.716565611,0,-0.144275272,B1,0.984
12,1,12,12,1064,-82.55886628,29.87853436,1.318524992,-0.517825699,2.88993547,0.552954352,0.436254781,1.055547927,-1.027914836,1,0,1911,0.124001046,12,1.299126896,-0.135019319,1.481636649,0,0.034130887,B1,0.986
13,1,13,13,1091,-82.53470189,29.86917914,-0.482174075,0.561202024,0.017052644,0.163977983,0.436254781,-0.424528137,-1.027914836,0,0,2125,0.397323379,13,-0.454923686,0.885462065,-0.18572947,0,0.301116327,B1,0.978
14,1,14,14,1092,-82.53565863,29.86648066,1.318524992,0.156566628,3.068073638,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,2073,0.330908607,14,1.299126896,0.502781546,1.585024627,0,0.23624136,B1,0.99
15,1,15,15,1093,-82.5497049,29.88775413,-0.482174075,0.875918443,7.550677731,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1525,-0.369000921,15,-0.454923686,1.183102468,4.186642111,0,-0.447440982,B1,0.976
16,1,16,16,1095,-82.54444089,29.89094495,1.318524992,-1.776691376,1.610579533,-3.077491756,0.436254781,-0.424528137,0.650819428,0,1,1854,0.051200237,16,1.299126896,-1.325580933,0.739122988,1,-0.036982058,B1,0.972
17,1,17,17,1111,-82.54652531,29.87550389,1.318524992,-0.742623141,1.370902724,-0.095339596,0.436254781,3.311542654,2.02432928,1,1,2596,0.998249352,17,1.299126896,-0.347619607,0.600019163,1,0.888110016,B1,0.984
18,1,18,18,1113,-82.54799456,29.87706171,-0.482174075,-1.686772399,0.962804375,-2.818174176,0.436254781,-0.424528137,-1.027914836,0,0,2160,0.44202563,18,-0.454923686,-1.240540818,0.363166704,0,0.34478217,B1,0.982
19,1,19,19,1114,-82.54498455,29.87879983,-0.482174075,-0.832542118,1.856734093,-0.354657175,0.436254781,-0.424528137,1.697303125,0,1,3676,2.378271696,19,-0.454923686,-0.432659723,0.881986376,1,2.23613697,B1,0.976
20,1,20,20,1132,-82.57727077,29.86608662,-0.482174075,0.38136407,1.973333621,0.682613141,0.436254781,-0.424528137,0.890638608,0,1,1733,-0.10334183,20,-0.454923686,0.715381834,0.949658507,1,-0.187941115,B1,0.984
21,1,21,21,1133,-82.57694885,29.8669832,-0.482174075,0.336404582,1.90531723,0.682613141,0.436254781,4.526999058,1.065052558,1,1,1519,-0.376664164,21,-0.454923686,0.672861776,0.910183097,1,-0.454926555,B1,0.986
22,1,22,22,1134,-82.57722287,29.86779031,-0.482174075,0.291445093,0.622722417,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1404,-0.523542988,22,-0.454923686,0.630341719,0.165789655,0,-0.598400039,B1,0.984
23,1,23,23,1137,-82.5832682,29.85997155,-0.482174075,0.741039978,0.645394548,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1577,-0.302586148,23,-0.454923686,1.055542295,0.178948125,0,-0.382566015,B1,0.976
24,1,24,24,1142,-82.5826114,29.85884346,-0.482174075,0.426323558,0.700455436,0.682613141,0.436254781,-0.424528137,2.896399027,0,1,1796,-0.022877779,24,-0.454923686,0.757901892,0.210904409,1,-0.109342598,B1,0.982
25,1,25,25,1143,-82.58060244,29.85888955,-0.482174075,0.38136407,1.766045571,-0.613974754,0.436254781,2.266519252,-1.027914836,1,0,2210,0.505885989,25,-0.454923686,0.715381834,0.829352496,0,0.407161945,B1,0.978
26,1,26,26,1144,-82.58072123,29.8651278,-0.482174075,0.471283047,1.859972969,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,2632,1.044867413,26,-0.454923686,0.800421949,0.883866157,0,0.933647253,B1,0.984
27,1,27,27,1150,-82.57633339,29.86264227,-2.282873141,1.235594351,1.503696632,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,672,-1.458458635,27,-2.208974267,1.523262929,0.677090201,0,-1.511639956,B1,0.984
28,1,28,28,1151,-82.57821732,29.86266104,1.318524992,-0.472866211,1.510174383,0.552954352,0.436254781,-0.424528137,-1.027914836,0,0,2068,0.324522571,28,1.299126896,-0.092499261,0.680849764,0,0.230003382,B1,0.98
29,1,29,29,1152,-82.57638278,29.86116819,-0.482174075,-0.607744676,2.475359369,0.163977983,0.436254781,-0.424528137,-1.027914836,0,0,1440,-0.47756353,29,-0.454923686,-0.220059434,1.241024627,0,-0.553486601,B1,0.984
30,1,30,30,1153,-82.58047846,29.86166899,1.318524992,-0.877501607,1.442157992,-0.484315965,0.436254781,-0.424528137,0.650819428,0,1,2102,0.368586218,30,1.299126896,-0.47517978,0.641374354,1,0.273045428,B1,0.976
31,1,31,31,1157,-82.58291292,29.86140931,1.318524992,0.38136407,0.457539752,0.682613141,0.436254781,-0.424528137,-1.027914836,0,0,1876,0.079298795,31,1.299126896,0.715381834,0.069920803,0,-0.009534956,B1,0.976
32,1,32,32,1158,-82.58194237,29.86207163,-0.482174075,-0.20310928,-0.060680375,0.682613141,0.436254781,3.701744526,0.574513325,1,1,1839,0.03204213,32,-0.454923686,0.162621085,-0.230844224,1,-0.05569599,B1,0.98
33,1,33,33,1159,-82.58270313,29.8619275,1.318524992,-0.562785187,0.324745844,0.423295562,0.436254781,-0.424528137,-1.027914836,0,0,2067,0.323245364,33,1.299126896,-0.177539377,-0.007150235,0,0.228755787,B1,0.978
34,1,34,34,1161,-82.58261651,29.86292764,-0.482174075,-0.158149791,2.141755162,0.682613141,0.436254781,2.589444939,0.650819428,1,1,1912,0.125278253,34,-0.454923686,0.205141142,1.047407141,1,0.035378482,B1,0.98
35,1,35,35,1162,-82.58143785,29.86339309,-0.482174075,-0.293028257,0.376567857,0.682613141,0.436254781,-0.424528137,1.428414953,0,1,1512,-0.385604614,35,-0.454923686,0.077580969,0.022926267,1,-0.463659724,B1,0.98
