prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price,prop_val_yr,CENTROID_X,CENTROID_Y
1143,6.41,0,1975,2210,AC,3,433100,2023,-82.58060244,29.85888955
1199,10.1,0,1982,2042,AC,3,451800,2022,-82.57241349,29.86644262
1270,2.57,0,2005,2809,LT,4,625300,2023,-82.57363665,29.85103916
1278,7.98,0,1998,2496,AC,4,961100,2022,-82.57056481,29.84869491
1308,2,0,1986,1632,AC,3,429400,2022,-82.57669019,29.85373331
1358,1.29,1019,2005,2587,AC,4,544500,2024,-82.61100861,29.84698957
1523,2.25,0,2007,2596,FF,3,674100,2023,-82.63111429,29.84085317
1610,1.19,1019,2001,1436,LT,3,292100,2023,-82.61389365,29.84139128
1624,1,1019,1998,1903,LT,3,357700,2022,-82.61413775,29.84265034
1628,1,1019,2004,2004,LT,3,443500,2024,-82.61507764,29.84304187
1699,0.34,1019,1929,960,UN,2,10300,2023,-82.60805185,29.83750204
1699,0.34,1019,1929,960,UN,2,25100,2023,-82.60805185,29.83750204
1719,0.3,1019,1997,1165,UN,3,223300,2024,-82.60321978,29.83753633
1733,0.17,1019,2022,1714,LT,NULL,343400,2023,-82.60590577,29.83661315
1742,0.17,1019,2022,1209,LT,3,274900,2023,-82.60504765,29.83860289
1744,0.17,1019,2022,1602,LT,NULL,313200,2023,-82.60505288,29.83901539
1745,0.17,1019,2022,1397,LT,3,280600,2023,-82.60504556,29.83921931
1746,0.21,1019,2022,1776,LT,NULL,327300,2023,-82.60506052,29.83942731
1764,0.22,1019,2020,1734,LT,NULL,378800,2023,-82.60643719,29.83734724
1776,0.17,1019,2021,1671,LT,NULL,100,2023,-82.60587317,29.83720005
1776,0.17,1019,2021,1671,LT,NULL,342400,2023,-82.60587317,29.83720005
1777,0.18,1019,2022,1759,LT,NULL,100,2023,-82.60587483,29.83699008
1777,0.18,1019,2022,1759,LT,NULL,342900,2023,-82.60587483,29.83699008
1780,0.2,1019,2020,1683,LT,NULL,326300,2022,-82.60612242,29.83926891
1788,0.17,1019,2023,1202,LT,3,244400,2024,-82.60690463,29.83823396
1789,0.17,1019,2023,1209,LT,3,255000,2024,-82.60703821,29.83835741
1794,0.18,1019,2022,1396,LT,NULL,248900,2023,-82.60687579,29.83941781
1797,0.18,1019,2023,1781,LT,NULL,296400,2024,-82.60616911,29.83953468
1815,0.19,1019,2011,1368,LT,3,293700,2023,-82.60675077,29.84134347
1818,0.12,1019,2020,1366,LT,NULL,302100,2023,-82.60704497,29.84171716
1819,0.12,1019,2012,1264,LT,3,237700,2024,-82.60713068,29.84183257
1827,0.19,1019,2019,1391,LT,NULL,296400,2022,-82.60820861,29.84247565
1829,0.18,1019,2018,1433,LT,NULL,284300,2022,-82.60821194,29.84206385
1830,0.18,1019,2017,1421,LT,3,295900,2024,-82.60820934,29.84185761
1846,0.12,1019,2010,1264,LT,3,275100,2023,-82.60620123,29.84059125
1852,0.12,1019,2018,1343,LT,NULL,287600,2022,-82.60697036,29.84096324
1862,0.12,1019,2018,1606,LT,NULL,295500,2024,-82.60713256,29.84066949
1866,0.36,1019,1975,1200,SF,3,100,2024,-82.60390759,29.84036753
1866,0.36,1019,1975,1200,SF,3,228300,2024,-82.60390759,29.84036753
1875,9.21,1019,1960,2739,AC,3,456000,2023,-82.60110638,29.84380333
1926,1.52,1019,2005,2112,AC,4,427200,2022,-82.5891322,29.83905186
1935,0.43,1019,1968,2163,UN,3,374600,2024,-82.59106319,29.83856677
1960,0.21,1019,2013,1593,LT,3,308600,2024,-82.5874902,29.83025211
1985,0.22,1019,2020,2298,LT,NULL,340200,2023,-82.58643589,29.83629639
2001,0.23,1019,2021,1768,LT,NULL,282800,2022,-82.58380917,29.83537443
2030,0.25,1019,2015,1644,LT,3,320300,2024,-82.58698022,29.83100375
2043,0.2,1019,2016,1394,LT,3,276900,2023,-82.58614962,29.83025483
2052,0.21,1019,2017,1912,LT,3,332300,2023,-82.58585768,29.83169306
2101,0.21,1019,2021,2259,LT,NULL,305000,2022,-82.584443,29.83170486
2103,0.21,1019,2012,1740,LT,3,361700,2022,-82.58445094,29.83219222
2109,0.2,1019,2021,1615,LT,NULL,270500,2022,-82.58486898,29.83331163
2124,0.23,1019,2013,1772,LT,3,329200,2022,-82.58589005,29.83297423
2142,0.2,1019,2020,1768,LT,NULL,315300,2024,-82.58518663,29.83644071
2148,0.2,1019,2020,1672,LT,NULL,308400,2023,-82.58661633,29.83572894
2179,4,0,1957,1470,AC,3,242400,2024,-82.56360431,29.84084717
2200,5,1019,2000,1860,AC,3,436500,2024,-82.57071769,29.83396689
2344,1.03,1019,1995,2045,UN,3,429700,2024,-82.56125923,29.81523622
2364,0.25,1019,2005,1629,UN,3,311900,2024,-82.5878842,29.83161532
2377,0.25,1019,2005,1465,LT,3,285400,2022,-82.5879451,29.83515035
2384,0.25,1019,2005,1465,LT,3,299900,2024,-82.58791313,29.83329208
2391,0.36,1019,2005,1585,LT,3,304200,2023,-82.58871903,29.83366154
2416,4.24,0,1967,2608,AC,3,220500,2022,-82.58415137,29.82849759
2518,0.23,1019,1998,1178,LT,3,218100,2024,-82.58032794,29.81597245
2534,0.46,1019,2000,1452,LT,3,163100,2022,-82.58329864,29.81514902
2570,0.36,1019,2005,1204,UN,3,248300,2022,-82.5810352,29.8177108
2619,0.17,1019,1985,1154,UN,3,211700,2022,-82.58207733,29.81657275
2622,0.17,1019,1984,956,UN,3,189300,2024,-82.58278695,29.81656842
2712,0.31,1019,1959,1096,UN,3,214000,2023,-82.58957365,29.82099417
2817,0.16,1019,1991,1064,UN,3,180600,2022,-82.59248331,29.81912481
2919,0.35,1019,1989,2401,UN,4,434200,2024,-82.59015846,29.83143212
2920,0.54,1019,2004,1743,UN,3,296200,2022,-82.59045116,29.82980349
2928,0.34,1019,1977,1312,LT,3,243500,2024,-82.59162191,29.82831602
2934,0.34,1019,1999,1318,LT,3,275400,2024,-82.5916389,29.82767683
2962,0.34,1019,2000,1273,LT,3,306000,2022,-82.59212733,29.83121768
2976,0.33,1019,1985,1701,UN,3,344300,2022,-82.59382509,29.83061927
2985,0.41,1019,2005,1798,LT,3,312500,2022,-82.59328103,29.83149391
3017,0.34,1019,1975,1606,UN,2,197000,2024,-82.59448738,29.83447243
3044,1.15,1019,1900,1930,SF,3,165000,2024,-82.59340848,29.82703872
3055,0.36,1019,1955,1248,SF,3,291300,2022,-82.59319635,29.82568176
3074,0.15,1019,1989,1080,SF,3,72900,2022,-82.59411453,29.82774892
3100,0.23,1019,1900,1156,LT,3,224500,2023,-82.59591466,29.82705173
3212,0.22,1019,1955,1176,UN,3,126900,2022,-82.59788597,29.8303388
3234,0.34,1019,1954,1737,UN,3,269200,2022,-82.59859818,29.8313059
3246,0.23,1019,1929,1926,UN,2,144900,2023,-82.60011467,29.82975299
3280,0.34,1019,1927,1456,UN,4,286300,2022,-82.59984063,29.83135614
