prop_id,legal_acreage,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,actual_age
1058,7.93,2412,AC,3,492600,SUWANNEE,22
1143,6.41,2210,AC,3,433100,SUWANNEE,48
1307,2,2508,AC,4,535500,SUWANNEE,19
1311,1.28,1636,AC,3,252800,SUWANNEE,34
1357,1.18,2411,AC,4,458100,HIGH SPRINGS,18
1367,3.5,2297,AC,4,573800,HIGH SPRINGS,16
1416,1.07,2260,AC,3,199700,HIGH SPRINGS,50
1430,1.2,2250,AC,3,427400,HIGH SPRINGS,48
1473,6.48,1416,AC,3,495500,HIGH SPRINGS,37
1610,1.19,1436,LT,3,292100,HIGH SPRINGS,22
1699,0.34,960,UN,2,25100,HIGH SPRINGS,94
1717,0.36,1856,UN,3,235800,HIGH SPRINGS,20
1745,0.17,1397,LT,3,280600,HIGH SPRINGS,1
1750,0.18,1384,LT,3,264400,HIGH SPRINGS,1
1786,0.17,1209,LT,3,238500,HIGH SPRINGS,1
1815,0.19,1368,LT,3,293700,HIGH SPRINGS,12
1941,0.66,1767,UN,3,280000,HIGH SPRINGS,62
1951,1.99,1867,AC,3,419400,HIGH SPRINGS,34
1965,0.21,1733,LT,3,322000,HIGH SPRINGS,8
2033,0.2,1484,LT,3,321500,HIGH SPRINGS,13
2052,0.21,1912,LT,3,332300,HIGH SPRINGS,6
2092,0.19,1968,LT,3,355000,HIGH SPRINGS,10
2095,0.21,2556,LT,3,321700,HIGH SPRINGS,1
2240,5,1946,AC,3,388900,HIGH SPRINGS,27
2259,2.64,1456,AC,4,343400,SUWANNEE,31
2364,0.25,1629,UN,3,311900,HIGH SPRINGS,19
2384,0.25,1465,LT,3,299900,HIGH SPRINGS,19
2622,0.17,956,UN,3,189300,HIGH SPRINGS,40
2817,0.16,1064,UN,3,180600,HIGH SPRINGS,31
2899,0.52,1297,SF,3,168800,HIGH SPRINGS,69
2920,0.54,1743,UN,3,296200,HIGH SPRINGS,18
2976,0.33,1701,UN,3,344300,HIGH SPRINGS,37
3017,0.34,1606,UN,2,197000,HIGH SPRINGS,49
3027,0.34,1240,UN,3,198500,HIGH SPRINGS,49
3033,0.34,1240,UN,3,96400,HIGH SPRINGS,74
3212,0.22,1176,UN,3,126900,HIGH SPRINGS,67
3234,0.34,1737,UN,3,269200,HIGH SPRINGS,68
3245,0.23,1431,UN,3,264100,HIGH SPRINGS,60
3310,0.68,2258,UN,3,263600,HIGH SPRINGS,61
3326,0.34,1125,UN,3,250500,HIGH SPRINGS,8
3384,0.23,1600,UN,3,247500,HIGH SPRINGS,52
3389,0.28,2066,UN,3,297000,HIGH SPRINGS,63
3398,0.14,1136,UN,3,226600,HIGH SPRINGS,76
3432,0.2,1442,SF,3,142000,HIGH SPRINGS,108
3465,0.23,1084,UN,3,192200,HIGH SPRINGS,44
3706,0.09,1200,UN,3,210200,HIGH SPRINGS,1
3766,0.23,1200,UN,3,259900,HIGH SPRINGS,57
3782,0.18,839,UN,3,145100,HIGH SPRINGS,94
3795,0.3,1284,UN,3,196400,HIGH SPRINGS,93
3886,0.34,1344,LT,3,206100,HIGH SPRINGS,37
4050,0.74,1860,LT,4,385000,HIGH SPRINGS,19
4107,0.59,1200,UN,3,181400,HIGH SPRINGS,46
4179,0.47,1431,LT,3,270300,HIGH SPRINGS,20
4181,0.31,1504,LT,3,235500,HIGH SPRINGS,17
4184,0.43,1347,LT,3,274700,HIGH SPRINGS,16
4211,0.28,1477,LT,3,278400,HIGH SPRINGS,22
4252,0.3,1201,LT,3,198900,HIGH SPRINGS,60
4268,0.38,925,LT,3,205000,HIGH SPRINGS,59
4315,0.74,1504,LT,3,302200,HIGH SPRINGS,16
4321,0.25,1192,LT,3,253300,HIGH SPRINGS,24
4345,0.25,1518,LT,3,221300,HIGH SPRINGS,19
4356,0.29,1328,LT,3,242900,HIGH SPRINGS,16
4495,0.35,1260,UN,3,195500,HIGH SPRINGS,42
4506,12.85,2118,AC,4,468100,SUWANNEE,27
4598,5.17,2310,AC,3,724300,SUWANNEE,6
4621,0.43,1058,FF,3,258600,SUWANNEE,70
4682,5.01,2937,AC,4,695800,HIGH SPRINGS,4
4687,5.01,3089,AC,4,643500,HIGH SPRINGS,20
4936,1.1,1850,LT,3,417500,HIGH SPRINGS,9
5049,0.34,1075,LT,3,191800,HIGH SPRINGS,58
5100,0.34,1142,LT,3,252100,HIGH SPRINGS,48
5110,0.23,1332,LT,3,253300,HIGH SPRINGS,59
5144,0.3,1308,LT,3,201400,HIGH SPRINGS,40
5148,0.23,1308,LT,3,214400,HIGH SPRINGS,38
5197,0.68,1586,SF,3,241300,HIGH SPRINGS,32
5235,2.03,840,AC,3,225200,SUWANNEE,61
5245,1.14,1997,LT,3,367400,HIGH SPRINGS,17
5254,1,1848,LT,3,460400,HIGH SPRINGS,22
5259,1,1930,LT,3,455100,HIGH SPRINGS,18
5262,1,1649,LT,3,344400,HIGH SPRINGS,20
5276,1.34,2080,LT,3,470300,HIGH SPRINGS,19
5282,1.01,1930,LT,4,439600,HIGH SPRINGS,20
5333,1,1551,LT,3,346400,HIGH SPRINGS,18
5422,0.35,1975,LT,3,462700,HIGH SPRINGS,6
5564,5.01,2729,AC,3,681800,HIGH SPRINGS,7
5636,1,2204,LT,3,429400,HIGH SPRINGS,17
5849,4.14,1274,AC,3,259700,SUWANNEE,64
5865,7.46,2165,AC,3,212100,SUWANNEE,54
5909,3,2592,AC,3,486600,SUWANNEE,31
5935,6.64,1878,AC,3,465300,SUWANNEE,45
6103,1.26,1272,AC,3,320000,SUWANNEE,40
6229,12.37,3208,AC,3,588300,SUWANNEE,15
6875,1.77,2533,AC,3,394500,SUWANNEE,45
6909,3.88,2462,AC,4,657900,SUWANNEE,17
7010,5.17,2051,AC,3,353400,SUWANNEE,44
7370,1.71,1228,AC,3,200800,SUWANNEE,93
7404,1.53,1188,LT,3,301000,NEWBERRY,30
7446,1.1,1632,LT,3,262900,NEWBERRY,21
7460,1.05,1512,LT,3,330300,NEWBERRY,23
7476,1,1763,LT,3,414000,NEWBERRY,20
7487,1,1518,LT,3,297400,NEWBERRY,22
7692,0.19,1913,LT,3,320400,NEWBERRY,17
7722,0.25,1663,LT,3,335200,NEWBERRY,17
7741,0.22,1852,LT,3,325200,NEWBERRY,17
7772,0.19,1628,LT,3,293000,NEWBERRY,17
7776,0.25,1677,LT,3,348200,NEWBERRY,9
7780,0.21,1525,LT,3,312400,NEWBERRY,9
7782,0.33,1677,LT,3,359600,NEWBERRY,8
7797,0.2,1365,LT,3,291600,NEWBERRY,8
7812,0.18,1298,LT,3,289000,NEWBERRY,9
7990,0.24,1674,LT,3,315300,NEWBERRY,15
8031,0.23,1747,LT,3,334300,NEWBERRY,16
8041,0.28,1853,LT,3,291600,NEWBERRY,15
8074,0.23,2052,LT,3,393300,NEWBERRY,8
8075,0.26,1838,LT,3,340600,NEWBERRY,13
8082,0.24,2200,LT,3,352800,NEWBERRY,17
8093,0.23,1918,LT,3,324000,NEWBERRY,15
8101,0.23,1652,LT,3,343700,NEWBERRY,10
8259,7.25,2642,AC,4,672800,SUWANNEE,15
8265,1.73,1924,AC,3,338100,SUWANNEE,52
8266,10.29,2518,AC,4,680300,SUWANNEE,21
8345,0.18,2336,LT,2,416900,NEWBERRY,11
8362,0.16,2348,LT,2,349600,NEWBERRY,9
8363,0.22,3896,LT,2,424900,NEWBERRY,16
8419,0.21,3070,LT,2,373300,NEWBERRY,14
8422,0.18,3908,LT,2,482900,NEWBERRY,8
8426,0.18,3920,LT,2,473000,NEWBERRY,12
8619,0.26,1236,UN,3,193800,NEWBERRY,47
8634,0.23,1358,UN,3,252000,NEWBERRY,31
8742,0.8,1000,UN,3,146000,NEWBERRY,48
8748,0.26,1248,UN,3,230400,NEWBERRY,44
8913,0.29,1333,UN,3,208100,NEWBERRY,41
9051,0.3,1085,LT,3,183200,NEWBERRY,70
9073,0.77,820,LT,3,147900,NEWBERRY,67
9103,0.24,1380,LT,3,193600,NEWBERRY,77
9107,0.28,1700,UN,4,339400,NEWBERRY,25
9328,0.17,1092,UN,3,201500,NEWBERRY,47
9492,0.36,1344,LT,3,202000,NEWBERRY,32
9749,0.24,1419,LT,3,300000,NEWBERRY,10
9754,0.29,2349,LT,3,438900,NEWBERRY,8
9766,6.64,1752,AC,3,488000,NEWBERRY,13
9791,0.34,2636,LT,3,385400,NEWBERRY,21
9853,0.32,1240,LT,4,269900,NEWBERRY,37
9855,0.32,1394,LT,3,208100,NEWBERRY,38
9858,0.32,1144,LT,3,216800,NEWBERRY,32
9864,0.3,1720,UN,4,323200,NEWBERRY,27
9869,0.3,1673,LT,4,314500,NEWBERRY,25
9874,0.3,2294,LT,3,402700,NEWBERRY,25
9882,0.3,1768,LT,3,333100,NEWBERRY,23
