prop_id,legal_acreage,living_area,condition_cd,tax_area_description,actual_age,abs_subdv_cd,Aessessment_Val
1058,7.93,2412,3,SUWANNEE,24,0,448975
1143,6.41,2210,3,SUWANNEE,49,0,382566
1199,10.1,2042,3,SUWANNEE,42,0,420414
1270,2.57,2809,4,SUWANNEE,19,237900,594636
1278,7.98,2496,4,SUWANNEE,26,0,920863
1302,5.01,1784,3,SUWANNEE,19,0,372744
1307,2,2508,4,SUWANNEE,19,33400,484922
1311,1.28,1636,3,SUWANNEE,36,33400,244042
1358,1.29,2587,4,HIGH SPRINGS,19,237800,534226
1359,3.89,2468,4,HIGH SPRINGS,19,237800,458430
1367,3.5,2297,4,HIGH SPRINGS,18,237800,547676
1416,1.07,2260,3,HIGH SPRINGS,51,0,192781
1430,1.2,2250,3,HIGH SPRINGS,50,0,406550
1473,6.48,1416,3,HIGH SPRINGS,38,167100,489260
1523,2.25,2596,3,SUWANNEE,17,0,673636
1526,1.35,1823,3,SUWANNEE,22,0,427690
1555,12.2,2553,3,SUWANNEE,27,173100,623321
1610,1.19,1436,3,HIGH SPRINGS,23,167000,289184
1613,1,2447,3,HIGH SPRINGS,24,167000,371581
1624,1,1903,3,HIGH SPRINGS,26,167000,336795
1628,1,2004,3,HIGH SPRINGS,20,167000,427800
1641,1,2046,3,HIGH SPRINGS,22,167000,329304
1699,0.34,960,2,HIGH SPRINGS,95,0,24955
1714,0.24,1360,3,HIGH SPRINGS,38,180900,249783
1717,0.36,1856,3,HIGH SPRINGS,22,180900,235160
1718,0.29,1329,3,HIGH SPRINGS,11,180900,274580
1719,0.3,1165,3,HIGH SPRINGS,27,180900,221051
1742,0.17,1209,3,HIGH SPRINGS,2,180901,274293
1745,0.17,1397,3,HIGH SPRINGS,2,180901,279971
1750,0.18,1384,3,HIGH SPRINGS,2,180901,263776
1778,0.17,1397,3,HIGH SPRINGS,2,180901,258701
1786,0.17,1209,3,HIGH SPRINGS,2,180901,238500
1788,0.17,1202,3,HIGH SPRINGS,1,180901,244400
1789,0.17,1209,3,HIGH SPRINGS,1,180901,254058
1790,0.18,1418,3,HIGH SPRINGS,12,180901,292132
1792,0.18,1742,3,HIGH SPRINGS,7,180901,310545
1795,0.18,1776,3,HIGH SPRINGS,2,180901,301880
1815,0.19,1368,3,HIGH SPRINGS,13,250800,293361
1817,0.12,1368,3,HIGH SPRINGS,10,250800,322918
1819,0.12,1264,3,HIGH SPRINGS,12,250800,236700
1830,0.18,1421,3,HIGH SPRINGS,7,250800,295500
1846,0.12,1264,3,HIGH SPRINGS,14,250800,274732
1866,0.36,1200,3,HIGH SPRINGS,49,0,227813
1875,9.21,2739,3,HIGH SPRINGS,64,83800,434709
1918,0.39,1736,3,HIGH SPRINGS,21,189800,264298
1926,1.52,2112,4,HIGH SPRINGS,19,0,424804
1927,1.52,1364,3,HIGH SPRINGS,22,0,314556
1935,0.43,2163,3,HIGH SPRINGS,56,189800,357959
1941,0.66,1767,3,HIGH SPRINGS,62,189800,280000
1951,1.99,1867,3,HIGH SPRINGS,36,0,392335
1960,0.21,1593,3,HIGH SPRINGS,11,247500,307526
1965,0.21,1733,3,HIGH SPRINGS,9,247500,317898
1966,0.21,1556,3,HIGH SPRINGS,10,247500,316436
1970,0.21,1441,3,HIGH SPRINGS,7,247500,316129
2026,0.23,1847,3,HIGH SPRINGS,8,247500,329323
2030,0.25,1644,3,HIGH SPRINGS,9,247500,319084
2033,0.2,1484,3,HIGH SPRINGS,15,247500,320557
2043,0.2,1394,3,HIGH SPRINGS,8,247500,275365
2047,0.2,1772,3,HIGH SPRINGS,10,247500,330520
2052,0.21,1912,3,HIGH SPRINGS,7,247500,330820
2060,0.2,1441,3,HIGH SPRINGS,7,247500,298736
2092,0.19,1968,3,HIGH SPRINGS,12,247500,354553
2095,0.21,2556,3,HIGH SPRINGS,3,247500,321700
2096,0.23,1752,3,HIGH SPRINGS,9,247500,331890
2103,0.21,1740,3,HIGH SPRINGS,12,247500,330315
