prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,actual_age,abs_subdv_cd,sl_price,Total_MISC_Val
1058,7.93,2412,3,SUWANNEE,24,0,492600,43625
1143,6.41,2210,3,SUWANNEE,49,0,433100,50534
1199,10.1,2042,3,SUWANNEE,42,0,451800,31386
1270,2.57,2809,4,SUWANNEE,19,237900,625300,30664
1278,7.98,2496,4,SUWANNEE,26,0,961100,40237
1302,5.01,1784,3,SUWANNEE,19,0,375400,2656
1307,2,2508,4,SUWANNEE,19,33400,535500,50578
1311,1.28,1636,3,SUWANNEE,36,33400,252800,8758
1358,1.29,2587,4,HIGH SPRINGS,19,237800,544500,10274
1359,3.89,2468,4,HIGH SPRINGS,19,237800,481700,23270
1367,3.5,2297,4,HIGH SPRINGS,18,237800,573800,26124
1416,1.07,2260,3,HIGH SPRINGS,51,0,199700,6919
1430,1.2,2250,3,HIGH SPRINGS,50,0,427400,20850
1473,6.48,1416,3,HIGH SPRINGS,38,167100,495500,6240
1523,2.25,2596,3,SUWANNEE,17,0,674100,464
1526,1.35,1823,3,SUWANNEE,22,0,435600,7910
1555,12.2,2553,3,SUWANNEE,27,173100,669900,46579
1610,1.19,1436,3,HIGH SPRINGS,23,167000,292100,2916
1613,1,2447,3,HIGH SPRINGS,24,167000,384500,12919
1624,1,1903,3,HIGH SPRINGS,26,167000,357700,20905
1628,1,2004,3,HIGH SPRINGS,20,167000,443500,15700
1641,1,2046,3,HIGH SPRINGS,22,167000,340300,10996
1699,0.34,960,2,HIGH SPRINGS,95,0,25100,145
1714,0.24,1360,3,HIGH SPRINGS,38,180900,252200,2417
1717,0.36,1856,3,HIGH SPRINGS,22,180900,235800,640
1718,0.29,1329,3,HIGH SPRINGS,11,180900,275300,720
1719,0.3,1165,3,HIGH SPRINGS,27,180900,223300,2249
1742,0.17,1209,3,HIGH SPRINGS,2,180901,274900,607
1745,0.17,1397,3,HIGH SPRINGS,2,180901,280600,629
1750,0.18,1384,3,HIGH SPRINGS,2,180901,264400,624
1778,0.17,1397,3,HIGH SPRINGS,2,180901,259300,599
1786,0.17,1209,3,HIGH SPRINGS,2,180901,238500,0
1788,0.17,1202,3,HIGH SPRINGS,1,180901,244400,0
1789,0.17,1209,3,HIGH SPRINGS,1,180901,255000,942
1790,0.18,1418,3,HIGH SPRINGS,12,180901,292500,368
1792,0.18,1742,3,HIGH SPRINGS,7,180901,312000,1455
1795,0.18,1776,3,HIGH SPRINGS,2,180901,302400,520
1815,0.19,1368,3,HIGH SPRINGS,13,250800,293700,339
1817,0.12,1368,3,HIGH SPRINGS,10,250800,324200,1282
1819,0.12,1264,3,HIGH SPRINGS,12,250800,237700,1000
1830,0.18,1421,3,HIGH SPRINGS,7,250800,295900,400
1846,0.12,1264,3,HIGH SPRINGS,14,250800,275100,368
1866,0.36,1200,3,HIGH SPRINGS,49,0,228300,487
1875,9.21,2739,3,HIGH SPRINGS,64,83800,456000,21291
1918,0.39,1736,3,HIGH SPRINGS,21,189800,265400,1102
1926,1.52,2112,4,HIGH SPRINGS,19,0,427200,2396
1927,1.52,1364,3,HIGH SPRINGS,22,0,318400,3844
1935,0.43,2163,3,HIGH SPRINGS,56,189800,374600,16641
1941,0.66,1767,3,HIGH SPRINGS,62,189800,280000,0
1951,1.99,1867,3,HIGH SPRINGS,36,0,419400,27065
1960,0.21,1593,3,HIGH SPRINGS,11,247500,308600,1074
1965,0.21,1733,3,HIGH SPRINGS,9,247500,322000,4102
1966,0.21,1556,3,HIGH SPRINGS,10,247500,317600,1164
1970,0.21,1441,3,HIGH SPRINGS,7,247500,316800,671
2026,0.23,1847,3,HIGH SPRINGS,8,247500,329400,77
2030,0.25,1644,3,HIGH SPRINGS,9,247500,320300,1216
2033,0.2,1484,3,HIGH SPRINGS,15,247500,321500,943
2043,0.2,1394,3,HIGH SPRINGS,8,247500,276900,1535
2047,0.2,1772,3,HIGH SPRINGS,10,247500,331700,1180
2052,0.21,1912,3,HIGH SPRINGS,7,247500,332300,1480
2060,0.2,1441,3,HIGH SPRINGS,7,247500,302900,4164
2092,0.19,1968,3,HIGH SPRINGS,12,247500,355000,447
2095,0.21,2556,NULL,HIGH SPRINGS,3,247500,321700,0
2096,0.23,1752,3,HIGH SPRINGS,9,247500,333200,1310
2103,0.21,1740,3,HIGH SPRINGS,12,247500,361700,31385
2124,0.23,1772,3,HIGH SPRINGS,11,247500,329200,1671
2179,4,1470,3,SUWANNEE,67,0,242400,12203
2200,5,1860,3,HIGH SPRINGS,24,203500,436500,50981
2240,5,1946,3,HIGH SPRINGS,28,182400,388900,6303
2247,2.71,1570,3,HIGH SPRINGS,28,182400,308700,616
2259,2.64,1456,4,SUWANNEE,32,14100,343400,4282
2339,1.25,1893,3,HIGH SPRINGS,28,107700,387700,5873
2343,1.03,1667,3,HIGH SPRINGS,28,107700,434300,7669
2344,1.03,2045,3,HIGH SPRINGS,29,107700,429700,12222
2363,0.25,1457,3,HIGH SPRINGS,19,94000,314600,420
2364,0.25,1629,3,HIGH SPRINGS,19,94000,311900,18203
2377,0.25,1465,3,HIGH SPRINGS,19,94001,285400,1437
2384,0.25,1465,3,HIGH SPRINGS,19,94001,299900,413
2388,0.36,1485,3,HIGH SPRINGS,19,94002,266000,7656
2391,0.36,1585,3,HIGH SPRINGS,19,94002,304200,1191
2395,0.23,1507,3,HIGH SPRINGS,19,94002,270300,1484
2409,5.61,1936,3,HIGH SPRINGS,29,182500,475300,14764
2416,4.24,2608,3,SUWANNEE,57,182600,220500,24701
2453,1.54,2280,3,HIGH SPRINGS,29,0,309400,3549
2498,1,1080,3,HIGH SPRINGS,46,0,135100,3656
2518,0.23,1178,3,HIGH SPRINGS,26,178600,218100,1159
2529,0.46,1259,3,HIGH SPRINGS,24,178600,272300,411
2532,0.46,1160,3,HIGH SPRINGS,25,178700,250500,1373
2534,0.46,1452,3,HIGH SPRINGS,24,178700,163100,785
2564,0.23,1208,3,HIGH SPRINGS,19,73000,220500,468
2570,0.36,1204,3,HIGH SPRINGS,19,73000,248300,532
2598,0.17,1194,3,HIGH SPRINGS,18,73000,238800,487
2602,0.17,900,3,HIGH SPRINGS,32,73000,194900,173
2619,0.17,1154,3,HIGH SPRINGS,39,73000,211700,259
2622,0.17,956,3,HIGH SPRINGS,40,73000,189300,1012
2712,0.31,1096,3,HIGH SPRINGS,65,64600,214000,0
2817,0.16,1064,3,HIGH SPRINGS,33,64600,180600,0
2857,0.34,1002,3,HIGH SPRINGS,73,64600,157600,0
2899,0.52,1297,3,HIGH SPRINGS,70,64600,168800,2597
2919,0.35,2401,4,HIGH SPRINGS,35,64600,434200,4988
2920,0.54,1743,3,HIGH SPRINGS,20,64600,296200,336
2927,0.34,1464,3,HIGH SPRINGS,73,64600,225300,3674
2928,0.34,1312,3,HIGH SPRINGS,47,64600,243500,0
2929,0.34,1321,3,HIGH SPRINGS,23,64600,291300,320
2930,0.34,1885,3,HIGH SPRINGS,71,64600,240900,3172
2934,0.34,1318,3,HIGH SPRINGS,25,64600,275400,12612
2950,0.34,1316,3,HIGH SPRINGS,30,64600,243900,1504
2962,0.34,1273,3,HIGH SPRINGS,24,64600,306000,11050
2967,0.34,2044,3,HIGH SPRINGS,45,64600,318600,5854
2976,0.33,1701,3,HIGH SPRINGS,39,64600,344300,32113
2985,0.41,1798,3,HIGH SPRINGS,19,182000,312500,6342
3017,0.34,1606,2,HIGH SPRINGS,49,64600,197000,2564
3027,0.34,1240,3,HIGH SPRINGS,50,64600,198500,11696
3033,0.34,1240,3,HIGH SPRINGS,76,64600,96400,5870
3034,0.34,1200,3,HIGH SPRINGS,24,64600,234900,279
3037,1.19,1477,3,HIGH SPRINGS,94,64600,181500,4704
3044,1.15,1930,3,HIGH SPRINGS,124,64500,165000,508
3055,0.36,1248,3,HIGH SPRINGS,69,93500,291300,7909
3059,0.34,1008,3,HIGH SPRINGS,87,93500,128800,5645
3071,0.34,2120,3,HIGH SPRINGS,68,93500,299700,7244
3074,0.15,1080,3,HIGH SPRINGS,35,93500,72900,1738
3100,0.23,1156,3,HIGH SPRINGS,124,64600,224500,7825
3212,0.22,1176,3,HIGH SPRINGS,69,64600,126900,1200
3234,0.34,1737,3,HIGH SPRINGS,70,64600,269200,17953
3236,0.34,1029,3,HIGH SPRINGS,70,64600,216300,4356
3237,0.34,1171,3,HIGH SPRINGS,61,64600,245000,2124
3242,0.45,1380,3,HIGH SPRINGS,86,64600,331400,4896
3245,0.23,1431,3,HIGH SPRINGS,62,64600,264100,1400
3246,0.23,1926,2,HIGH SPRINGS,95,64600,144900,2388
3256,0.17,1120,3,HIGH SPRINGS,95,64600,188800,699
3280,0.34,1456,3,HIGH SPRINGS,97,64600,286300,7916
3283,0.18,1044,3,HIGH SPRINGS,87,64600,198800,592
3310,0.68,2258,3,HIGH SPRINGS,63,64600,263600,7636
3316,0.34,2370,3,HIGH SPRINGS,74,64600,360400,13996
3319,0.38,2153,3,HIGH SPRINGS,63,64600,313300,4185
3326,0.34,1125,3,HIGH SPRINGS,10,64600,250500,947
3354,0.73,2785,3,HIGH SPRINGS,87,64600,402900,1276
3360,0.34,1551,3,HIGH SPRINGS,87,64600,237300,2944
3371,0.34,832,3,HIGH SPRINGS,33,64600,149800,3753
3382,0.32,1624,3,HIGH SPRINGS,60,64600,319900,4016
3384,0.23,1600,3,HIGH SPRINGS,52,64600,247500,314
3387,0.46,2513,3,HIGH SPRINGS,102,64600,368700,7300
3389,0.28,2066,3,HIGH SPRINGS,63,64600,297000,10668
3390,0.43,1416,3,HIGH SPRINGS,73,64600,207100,1295
3397,0.21,2408,4,HIGH SPRINGS,95,64600,467100,2342
3398,0.14,1136,3,HIGH SPRINGS,76,64600,226600,320
3404,0.11,911,3,HIGH SPRINGS,76,64600,180400,1251
3405,0.34,1172,3,HIGH SPRINGS,76,64600,171500,0
3408,0.34,1371,3,HIGH SPRINGS,82,64600,83200,4716
3423,0.25,1657,3,HIGH SPRINGS,95,64600,287900,1851
3432,0.2,1442,3,HIGH SPRINGS,110,64600,142000,2739
3457,0.57,1648,3,HIGH SPRINGS,22,64600,363700,8884
3465,0.23,1084,3,HIGH SPRINGS,46,152700,192200,3100
3482,0.34,1083,2,HIGH SPRINGS,95,64600,91900,0
3500,0.68,1372,3,HIGH SPRINGS,94,64600,218000,700
3503,0.34,1656,2,HIGH SPRINGS,95,64600,92000,0
3517,0.11,702,3,HIGH SPRINGS,95,64600,109900,2421
3547,1.15,2112,3,HIGH SPRINGS,48,94500,260300,37536
3553,0.34,945,3,HIGH SPRINGS,89,94500,118500,64
3557,0.34,1058,3,HIGH SPRINGS,27,94500,211200,425
3584,0.23,1064,3,HIGH SPRINGS,95,94900,255400,21702
3586,0.2,1248,3,HIGH SPRINGS,95,94900,141100,680
3705,0.11,1200,3,HIGH SPRINGS,2,71600,231300,518
3706,0.09,1200,3,HIGH SPRINGS,2,71600,210200,518
3766,0.23,1200,3,HIGH SPRINGS,59,171900,259900,1628
3782,0.18,839,3,HIGH SPRINGS,95,171900,145100,576
3795,0.3,1284,3,HIGH SPRINGS,95,171900,196400,8775
3802,0.23,2201,3,HIGH SPRINGS,95,171900,219800,5672
3821,0.23,1655,3,HIGH SPRINGS,95,171900,286900,2477
