prop_id,Market_Area
6269,1
6826,2
6846,1
17492,2
19693,1
19854,1
20133,2
20136,1
22785,3
22890,2
22953,3
27526,4
31576,4
36205,4
36206,2
36207,2
36208,4
36209,4
36210,2
36211,4
36212,2
36213,2
36214,4
36215,4
36216,2
36217,2
36218,4
36219,4
36220,4
36225,2
36226,4
36227,2
36228,2
36229,2
36230,2
36231,2
36525,2
36526,2
36527,2
36528,2
36529,4
36530,4
36531,4
36532,4
36533,4
36534,4
36535,4
36536,4
36537,4
36538,2
36539,2
36540,2
36541,4
36542,2
36543,2
36544,4
36545,4
36546,2
36547,2
36548,4
36549,4
36550,4
36551,2
36552,4
97420,6
98266,6
98271,6
98272,6
98273,5
98274,5
98275,6
98277,5
98278,6
104902,2
104904,2
104905,6
104909,4
105706,2
107302,1
107302,2
504938,2
