prop_id,Market_Area
6269,1
6269,2
6826,2
6826,1
6846,2
6846,1
17492,2
17492,1
19693,1
19693,2
19854,2
19854,1
20133,2
20133,1
20136,2
20136,1
22785,3
22785,2
22890,2
22890,3
22953,2
22953,3
27526,2
27526,4
31576,4
31576,2
36205,2
36205,4
36206,2
36206,4
36207,2
36207,4
36208,2
36208,4
36209,2
36209,4
36210,2
36210,4
36211,2
36211,4
36212,2
36212,4
36213,2
36213,4
36214,2
36214,4
36215,2
36215,4
36216,2
36216,4
36217,2
36217,4
36218,2
36218,4
36219,2
36219,4
36220,2
36220,4
36225,2
36225,4
36226,2
36226,4
36227,2
36227,4
36228,2
36228,4
36229,2
36229,4
36230,2
36230,4
36231,2
36231,4
36525,2
36525,4
36526,2
36526,4
36527,2
36527,4
36528,2
36528,4
36529,2
36529,4
36530,2
36530,4
36531,2
36531,4
36532,2
36532,4
36533,2
36533,4
36534,2
36534,4
36535,2
36535,4
36536,2
36536,4
36537,2
36537,4
36538,2
36538,4
36539,2
36539,4
36540,2
36540,4
36541,2
36541,4
36542,2
36542,4
36543,2
36543,4
36544,2
36544,4
36545,2
36545,4
36546,2
36546,4
36547,2
36547,4
36548,2
36548,4
36549,2
36549,4
36550,2
36550,4
36551,2
36551,4
36552,2
36552,4
97420,5
97420,6
98266,6
98266,5
98271,5
98271,6
98272,5
98272,6
98273,6
98273,5
98274,5
98274,6
98275,5
98275,6
98277,5
98277,6
98278,5
98278,6
104902,1
104902,2
104904,2
104904,1
104905,6
104905,4
104909,2
104909,4
105706,3
105706,2
107302,2
107302,1
107302,4
107302,5
504938,1
504938,2
