tax_area_description,Count,MAE,PRD,COD,PRB,Weighted Mean,Mean Ratio,Median Ratio
ALACHUA,442,59124.10762323006,1.0338021869558323,11.88905712398318,"{'PRB': -0.19751135115304988, 'Sig': 4.72736806272434e-35}",0.8414786282291682,0.8699224461399078,0.8499605323630147
ARCHER,35,40855.97725399401,1.0388089577790305,15.084053999288068,"{'PRB': -0.27505580683247555, 'Sig': 0.0002989300470272273}",0.8356505655888683,0.8680812931068296,0.8075289175723515
GAINESVILLE,2812,55353.76555560025,1.026583246021618,13.223721912275412,"{'PRB': -0.18356440000536728, 'Sig': 5.55579268139885e-110}",0.8433614120996673,0.865780696002652,0.8394063908360189
HAWTHORNE,49,41662.09399375874,1.050862658443396,14.148969592331271,"{'PRB': -0.3531789033912618, 'Sig': 1.7276220087742895e-09}",0.8128381201532754,0.8541812278284036,0.7894951756267038
HIGH SPRINGS,320,53437.37183782235,1.0227948132011335,10.124968495499376,"{'PRB': -0.1507116075458138, 'Sig': 2.5802810232927383e-20}",0.8404856817328191,0.8596443958461462,0.8400736035556379
LACROSSE,4,10473.341243852112,1.0114719665873548,4.852469261988574,"{'PRB': -0.10916610653464345, 'Sig': 0.1301243938018273}",1.0313821615243497,1.043214143220151,1.045136312063016
MICANOPY,21,85538.97529314096,1.050864461996635,16.04756810189635,"{'PRB': -0.1509115241149442, 'Sig': 0.01840476485434379}",0.7353184723211296,0.7727200508119313,0.7834390557643084
NEWBERRY,278,55186.52595554469,1.0112034910415617,9.33506146211148,"{'PRB': -0.08907835512454416, 'Sig': 1.579368934918815e-07}",0.8430084072493804,0.85245304438796,0.8301665926692225
ST. JOHN'S,2246,70951.56537156795,1.018611372647338,9.441740209122017,"{'PRB': -0.09837153752215946, 'Sig': 1.0154527683140118e-68}",0.8430113093475072,0.8587009069716941,0.8408479790200446
SUWANNEE,1005,90801.4553334837,1.0402373747686062,12.418451080780422,"{'PRB': -0.19562464024688087, 'Sig': 5.60259472520821e-56}",0.835308505579385,0.868919126965787,0.8449763102491855
WALDO,18,31098.443465112367,1.0598861963711526,19.147410865019488,"{'PRB': -0.2840424079360247, 'Sig': 0.0006626601992110446}",0.8612820132164122,0.9128609169908319,0.872204457163491
