legal_acreage,hood_cd,map_id,township_code,range_code,market_area_cd,city_id,yr_blt,living_area,land_type_cd,condition_cd,land_total_acres,sl_price,CENTROID_X,CENTROID_Y,Coord_Ratio
7.98,222100,7-17A,7,17,2,0,1998,2496,AC,4,7.98,961100,-82.57056481,29.84869491,-2.766304023
3.89,222100.02,7-17A,7,17,2,1019,2005,2468,AC,4,3.89,481700,-82.61198724,29.84672132,-2.767874781
3.5,222100.02,7-17A,7,17,2,1019,2006,2297,AC,4,3.5,573800,-82.61177179,29.84235236,-2.768272782
1.2,222100.02,7-17A,7,17,2,1019,2006,2414,AC,4,1.2,495000,-82.60976501,29.84391174,-2.768060894
1.31,222100.24,7-17B,7,17,2,0,1961,2016,FF,3,1.31,450000,-82.63245251,29.84016489,-2.769168763
1.19,222100.04,7-17B,7,17,2,1019,2001,1436,LT,3,1.19,155200,-82.61389365,29.84139128,-2.768433043
1.19,222100.04,7-17B,7,17,2,1019,2001,1436,LT,3,1.19,292100,-82.61389365,29.84139128,-2.768433043
1,222100.04,7-17B,7,17,2,1019,2000,2447,LT,3,1,384500,-82.61315933,29.84026109,-2.768513288
1,222100.04,7-17B,7,17,2,1019,2000,2447,LT,3,1,400000,-82.61315933,29.84026109,-2.768513288
1,222100.04,7-17B,7,17,2,1019,2004,2004,LT,3,1,443500,-82.61507764,29.84304187,-2.768319596
1,222100.04,7-17B,7,17,2,1019,2002,1679,LT,3,1,325000,-82.6162001,29.84222275,-2.768433196
0.34,222100,7-17D,7,17,2,1019,1929,960,UN,2,0.34,10300,-82.60805185,29.83750204,-2.768598113
0.34,222100,7-17D,7,17,2,1019,1929,960,UN,2,0.34,25100,-82.60805185,29.83750204,-2.768598113
0.34,222100,7-17D,7,17,2,1019,1929,960,UN,2,0.34,37000,-82.60805185,29.83750204,-2.768598113
0.24,222100.06,7-17D,7,17,2,1019,1986,1360,UN,3,0.24,252200,-82.60411534,29.83782966,-2.768435783
0.3,222100.06,7-17D,7,17,2,1019,1997,1165,UN,3,0.3,223300,-82.60321978,29.83753633,-2.768432986
