prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price
1058,7.93,0,2000,2412,AC,3,492600
1143,6.41,0,1975,2210,AC,3,433100
1270,2.57,0,2005,2809,LT,4,625300
1307,2,0,2005,2508,AC,4,535500
1389,1.8,1019,2005,2529,AC,4,555000
1416,1.07,1019,1973,2260,AC,3,199700
1430,1.2,1019,1974,2250,AC,3,427400
1473,6.48,1019,1986,1416,AC,3,495500
1555,12.2,0,1997,2553,AC,3,669900
1641,1,1019,2002,2046,LT,3,340300
1742,0.17,1019,2022,1209,LT,3,274900
1744,0.17,1019,2022,1602,LT,NULL,313200
1745,0.17,1019,2022,1397,LT,3,280600
1748,0.43,1019,2022,1776,LT,NULL,342300
1748,0.43,1019,2022,1776,LT,NULL,346100
1764,0.22,1019,2020,1734,LT,NULL,378800
1788,0.17,1019,2023,1202,LT,3,103300
1788,0.17,1019,2023,1202,LT,3,244400
1827,0.19,1019,2019,1391,LT,NULL,296400
1828,0.18,1019,2018,1433,LT,NULL,293000
1830,0.18,1019,2017,1421,LT,3,295900
1927,1.52,1019,2002,1364,AC,3,318400
1951,1.99,1019,1988,1867,AC,3,419400
1954,0.24,1019,2018,1773,LT,NULL,346500
1970,0.21,1019,2017,1441,LT,3,316800
2033,0.2,1019,2009,1484,LT,3,321500
2060,0.2,1019,2017,1441,LT,3,302900
2096,0.23,1019,2015,1752,LT,3,333200
2103,0.21,1019,2012,1740,LT,3,361700
2142,0.2,1019,2020,1768,LT,NULL,315300
2179,4,0,1957,1470,AC,3,242400
2200,5,1019,2000,1860,AC,3,436500
2388,0.36,1019,2005,1485,LT,3,266000
2391,0.36,1019,2005,1585,LT,3,224400
2391,0.36,1019,2005,1585,LT,3,304200
2409,5.61,1019,1995,1936,AC,3,475300
2498,1,1019,1978,1080,UN,3,135100
2518,0.23,1019,1998,1178,LT,3,218100
2534,0.46,1019,2000,1452,LT,3,163100
2598,0.17,1019,2006,1194,UN,3,238800
2740,0.11,1019,2023,1128,UN,NULL,220800
2929,0.34,1019,2001,1321,LT,3,291300
2930,0.34,1019,1953,1885,LT,3,240900
2950,0.34,1019,1994,1316,UN,3,243900
2976,0.33,1019,1985,1701,UN,3,344300
3033,0.34,1019,1948,1240,UN,3,96400
3055,0.36,1019,1955,1248,SF,3,291300
3059,0.34,1019,1937,1008,SF,3,128800
3242,0.45,1019,1938,1380,UN,3,331400
3245,0.23,1019,1962,1431,UN,3,264100
3347,0.47,1019,2020,1229,UN,NULL,265000
3371,0.34,1019,1991,832,UN,3,149800
3384,0.23,1019,1972,1600,UN,3,247500
3387,0.46,1019,1922,2513,UN,3,368700
3390,0.43,1019,1951,1416,UN,3,207100
3404,0.11,1019,1948,911,UN,3,180400
3408,0.34,1019,1942,1371,UN,3,83200
3408,0.34,1019,1942,1371,UN,3,230000
3517,0.11,1019,1929,702,UN,3,109900
3553,0.34,1019,1935,945,UN,3,118500
3557,0.34,1019,1997,1058,UN,3,211200
3766,0.23,1019,1965,1200,UN,3,259900
3782,0.18,1019,1929,839,UN,3,145100
3802,0.23,1019,1929,2201,SF,3,219800
3826,0.17,1019,1940,1580,SF,3,178500
3846,0.23,1019,1920,1328,SF,3,169100
3846,0.23,1019,1920,1328,SF,3,256300
3886,0.34,1019,1986,1344,LT,3,206100
3929,0.34,1019,1990,984,LT,3,151100
3945,0.34,1019,2004,1290,LT,3,273000
3969,0.3,1019,1920,896,LT,3,153000
4032,0.34,1019,1967,1352,UN,3,198300
4054,1.64,1019,2004,1503,LT,4,299000
4058,1.02,1019,2006,1958,LT,4,442000
4181,0.31,1019,2006,1504,LT,3,235500
4184,0.43,1019,2006,1347,LT,3,274700
4198,0.37,1019,2001,1332,LT,3,290000
4204,0.37,1019,1999,1422,LT,3,281600
4217,0.26,1019,2000,1546,LT,3,278000
4223,0.23,1019,1998,1362,LT,3,279000
4244,0.2984,1019,1964,1825,LT,3,250500
4260,0.53,1019,1959,1471,LT,3,184900
4347,0.25,1019,2003,1413,LT,3,275400
4363,0.25,1019,2007,1385,LT,3,286900
4449,0.33,1019,1964,1434,UN,3,229000
4469,0.33,1019,1975,1000,UN,3,167300
4490,0.31,1019,1982,1710,UN,3,280000
4678,5,1019,2020,3190,AC,NULL,768900
4682,5.01,1019,2020,2937,AC,4,695800
4741,1.2,1019,2018,2528,LT,NULL,668900
4758,3.02,1019,2020,3918,LT,NULL,790100
4805,5.01,1019,1999,1500,AC,3,272400
4825,0.97,0,1960,1365,UN,3,215700
4847,1.06,1019,2004,1744,LT,3,371600
4848,1.02,1019,2005,1873,LT,3,410400
4848,1.02,1019,2005,1873,LT,3,443500
4848,1.02,1019,2005,1873,LT,3,478000
4864,1.02,1019,2004,2096,LT,3,437800
4871,1.03,1019,2003,1828,LT,3,367500
4891,2.26,1019,2002,3148,LT,3,580400
4904,1.06,1019,2014,1636,LT,3,434900
4905,1.01,1019,2014,1984,LT,3,426100
4911,1,1019,2014,1984,LT,4,479300
4927,1.16,1019,2020,2296,LT,NULL,501800
4927,1.16,1019,2020,2296,LT,NULL,517900
4951,1.03,1019,2014,1850,LT,3,400000
5010,0.23,1019,1982,1344,LT,3,204900
5013,0.23,1019,1981,1056,LT,3,227000
5050,0.34,1019,1964,1332,LT,3,261900
5057,0.23,1019,1973,1050,LT,3,225000
5073,0.39,1019,1985,1934,LT,3,308000
5094,0.7,1019,1967,1520,LT,3,262400
5116,0.34,1019,1973,1729,LT,3,269500
5117,0.34,1019,1973,1289,LT,3,220000
5136,0.23,1019,1984,1352,LT,3,206900
5139,0.24,1019,1982,1056,LT,3,207900
5140,0.3,1019,1983,1140,LT,3,247000
5197,0.68,1019,1990,1586,SF,3,241300
5243,1.01,1019,2002,1995,LT,3,454000
5259,1,1019,2004,1930,LT,3,455100
5262,1,1019,2003,1649,LT,3,344400
5266,1.21,1019,2003,1843,LT,3,394200
5282,1.01,1019,2003,1930,LT,4,439600
5303,1.24,1019,2004,2178,LT,3,500100
5446,0.38,1019,2018,2090,LT,NULL,476500
5471,0.34,1019,2020,2070,LT,NULL,476700
5488,5.01,1019,2006,3363,AC,4,710500
5681,2,0,1962,616,AC,2,80800
5860,4.82,0,2004,1276,AC,3,351400
5866,9.08,0,2004,1682,AC,3,350000
5949,5.1,0,2019,3396,AC,NULL,777000
6052,5,0,2009,3348,AC,4,743600
6056,6.03,0,2005,2516,AC,4,498900
6119,6,0,2002,1775,AC,3,390300
6196,8.09,0,1981,1200,AC,3,330000
6613,8.87,0,1999,2039,AC,4,562000
6700,10.03,0,1994,1496,AC,3,463900
6740,20,0,1996,4529,AC,5,1542300
6909,3.88,0,2007,2462,AC,4,657900
7032,4.89,0,1976,1118,AC,3,329800
7404,1.53,1022,1994,1188,LT,3,301000
7423,1.07,1022,1995,1737,LT,3,346500
7446,1.1,1022,2002,1632,LT,3,262900
7463,1.01,1022,2000,1560,LT,3,347000
7486,1,1022,2002,1592,LT,3,355000
7487,1,1022,2000,1553,LT,3,297400
7675,0.23,1022,2006,1716,LT,3,306300
7692,0.19,1022,2005,1913,LT,3,320400
7695,0.18,1022,2005,1318,LT,3,280200
7696,0.18,1022,2005,1479,LT,3,282200
7716,0.24,1022,2006,1555,LT,3,300300
7722,0.25,1022,2006,1663,LT,3,335200
7739,0.32,1022,2006,1707,LT,3,360400
7756,0.18,1022,2007,1631,LT,3,295200
7782,0.33,1022,2015,1677,LT,3,359600
7795,0.2,1022,2013,1232,LT,3,292500
7798,0.2,1022,2009,1446,LT,3,310500
7904,0.45,1022,2004,1651,LT,3,304400
7921,0.3,1022,2003,1523,LT,3,275000
7924,0.24,1022,2004,1693,LT,3,295900
7927,0.28,1022,2004,1470,LT,3,298800
7948,0.24,1022,2004,1811,LT,3,314600
7984,0.24,1022,2006,1876,LT,3,303500
7990,0.24,1022,2008,1674,LT,3,315300
8027,0.27,1022,2006,1612,LT,3,322000
8030,0.23,1022,2007,1628,LT,3,302000
8031,0.23,1022,2007,1747,LT,3,317400
8031,0.23,1022,2007,1747,LT,3,334300
8074,0.23,1022,2015,2052,LT,3,402000
8074,0.23,1022,2015,2052,LT,3,393300
8090,0.25,1022,2007,2916,LT,3,418500
8093,0.23,1022,2007,1918,LT,3,324000
8259,7.25,0,2007,2642,AC,4,672800
8323,5,1022,2007,2544,AC,3,492000
8346,0.18,1022,2011,1874,LT,2,332900
8362,0.16,1022,2013,2348,LT,2,349600
8363,0.22,1022,2008,3896,LT,2,424900
8402,0.18,1022,2009,2859,LT,2,314000
8405,0.18,1022,2011,3420,LT,2,416500
8422,0.18,1022,2015,3908,LT,2,482900
8423,0.18,1022,2012,3920,LT,2,465000
8426,0.18,1022,2012,3920,LT,2,473000
8429,0.18,1022,2013,3920,LT,2,387600
8506,0.36,1022,1976,1628,UN,3,217800
8588,0.26,1022,1976,1213,LT,3,125000
8595,0.22,1022,1974,1516,UN,3,231300
8612,0.23,1022,1975,1392,UN,3,200000
8632,0.23,1022,1972,1014,UN,3,202300
8634,0.23,1022,1993,1358,UN,3,252000
8651,0.17,1022,1975,1236,UN,3,238400
8652,0.17,1022,1975,1248,UN,3,217600
8717,1.16,1022,1967,2358,UN,3,256000
8734,0.21,1022,1986,1075,UN,3,247400
8841,0.24,1022,1975,1184,UN,3,194100
8900,0.23,1022,2016,1224,UN,3,215000
8944,0.31,1022,1937,1394,UN,3,184000
9073,0.77,1022,1956,820,LT,3,147900
9092,0.48,1022,1988,1977,LT,3,332200
9113,0.42,1022,1996,1472,UN,3,285100
9116,0.42,1022,1934,2162,UN,3,369300
9236,0.24,1022,1983,936,UN,3,118100
9236,0.24,1022,1983,936,UN,3,131800
9236,0.24,1022,1983,936,UN,3,215600
9464,0.95,1022,1990,2548,LT,4,461900
9736,0.23,1022,2011,1583,LT,3,315200
9736,0.23,1022,2011,1583,LT,3,329500
9754,0.29,1022,2014,2349,LT,3,438900
9793,0.31,1022,2001,1643,LT,3,290300
9842,0.32,1022,1984,1848,LT,3,217600
9882,0.3,1022,2000,1768,LT,3,333100
9922,0.32,1022,2003,1747,LT,3,331700
9986,0.32,1022,2006,1963,LT,3,348800
