prop_id,legal_acreage,yr_blt,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,,
1143,6.41,1975,2210,AC,3,433100,SUWANNEE,,
1199,10.1,1982,2042,AC,3,451800,SUWANNEE,,
1270,2.57,2005,2809,LT,4,625300,SUWANNEE,,
1278,7.98,1998,2496,AC,4,961100,SUWANNEE,,
1308,2,1986,1632,AC,3,429400,SUWANNEE,,
1358,1.29,2005,2587,AC,4,544500,HIGH SPRINGS,,
1523,2.25,2007,2596,FF,3,674100,SUWANNEE,,
1610,1.19,2001,1436,LT,3,292100,HIGH SPRINGS,,
1624,1,1998,1903,LT,3,357700,HIGH SPRINGS,,
1628,1,2004,2004,LT,3,443500,HIGH SPRINGS,,
1699,0.34,1929,960,UN,2,10300,HIGH SPRINGS,,
1699,0.34,1929,960,UN,2,25100,HIGH SPRINGS,,
1719,0.3,1997,1165,UN,3,223300,HIGH SPRINGS,,
1733,0.17,2022,1714,LT,NULL,343400,HIGH SPRINGS,,
1742,0.17,2022,1209,LT,3,274900,HIGH SPRINGS,,
1744,0.17,2022,1602,LT,NULL,313200,HIGH SPRINGS,,
1745,0.17,2022,1397,LT,3,280600,HIGH SPRINGS,,
1746,0.21,2022,1776,LT,NULL,327300,HIGH SPRINGS,,
1764,0.22,2020,1734,LT,NULL,378800,HIGH SPRINGS,,
1776,0.17,2021,1671,LT,NULL,100,HIGH SPRINGS,,
1776,0.17,2021,1671,LT,NULL,342400,HIGH SPRINGS,,
1777,0.18,2022,1759,LT,NULL,100,HIGH SPRINGS,,
1777,0.18,2022,1759,LT,NULL,342900,HIGH SPRINGS,,
1780,0.2,2020,1683,LT,NULL,326300,HIGH SPRINGS,,
1788,0.17,2023,1202,LT,3,244400,HIGH SPRINGS,,
1789,0.17,2023,1209,LT,3,255000,HIGH SPRINGS,,
1794,0.18,2022,1396,LT,NULL,248900,HIGH SPRINGS,,
1797,0.18,2023,1781,LT,NULL,296400,HIGH SPRINGS,,
1815,0.19,2011,1368,LT,3,293700,HIGH SPRINGS,,
1818,0.12,2020,1366,LT,NULL,302100,HIGH SPRINGS,,
1819,0.12,2012,1264,LT,3,237700,HIGH SPRINGS,,
1827,0.19,2019,1391,LT,NULL,296400,HIGH SPRINGS,,
1829,0.18,2018,1433,LT,NULL,284300,HIGH SPRINGS,,
1830,0.18,2017,1421,LT,3,295900,HIGH SPRINGS,,
1846,0.12,2010,1264,LT,3,275100,HIGH SPRINGS,,
1852,0.12,2018,1343,LT,NULL,287600,HIGH SPRINGS,,
1862,0.12,2018,1606,LT,NULL,295500,HIGH SPRINGS,,
1866,0.36,1975,1200,SF,3,100,HIGH SPRINGS,,
1866,0.36,1975,1200,SF,3,228300,HIGH SPRINGS,,
1875,9.21,1960,2739,AC,3,456000,HIGH SPRINGS,,
1926,1.52,2005,2112,AC,4,427200,HIGH SPRINGS,,
1935,0.43,1968,2163,UN,3,374600,HIGH SPRINGS,,
