,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST. JOHN'S,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Carol_Estates,Duck_Pond,EastGNV,EastMidtownEastA,Florida_Park,Gainesvilleish_Region,Golfview,HSBUI_2,Haile_Like,Hawthorne,Hickory_Forest,HighSpringsA,HighSpringsAGNV,HighSpringsAGNVSouth,HighSpringsB,High_Springs,High_Springs_Main,Highland,Jonesville,Kanapaha,Lincoln_Estates,Lugano,Metcalf,MidtownEast_A,MidtownEast_B,MidtownEast_C,Montery,Newnans_Lake,QuailCreek,Rural_North,Rural_South,San_Felasco,Sorrento,Split_Rock,Springtree,SummerCreek,Sweetwater,TC_Forest,Tioga,Tioga_A,Tioga_B,Turkey_Creek,Valwood,Waldo,WaldoRural,Westchester,WildsPlantation,swNewberry_A,swNewberry_B,landiness,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,sale_ratio,Assessment_Val
3,4,1,4,12391,0.14,1640,1.0,HIGH SPRINGS,335000,2014,100,1640.0,2014,2025,0,-82.55126328999998,29.80649574,03034-010-050,0,185.0,420,10,10,0,0,2,1328,223100.15,1,20.0,31.0,High_Springs,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.47745347684887585,True,0.9,12.555892537975753,283762.3973645031,285090.3973645031,0.8510161115358302,283422.0
4,5,1,5,12394,0.14,1615,1.0,HIGH SPRINGS,333800,2015,100,1615.0,2015,2025,0,-82.55164150999998,29.8069488,03034-010-053,0,353.0,400,9,9,0,0,2,1158,223100.15,1,20.0,31.0,High_Springs,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.47745347684887585,True,0.91,12.558739613701723,284571.4415565245,285729.4415565245,0.855989938755316,282572.0
5,6,1,6,12417,0.17,1641,1.0,HIGH SPRINGS,280000,2013,100,1641.0,2013,2025,0,-82.55083397999998,29.80736751,03034-010-076,0,178.0,400,11,11,0,0,2,978,223100.15,1,20.0,31.0,High_Springs,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5797649361736349,True,0.89,12.559687514782373,284841.3150199647,285819.3150199647,1.0207832679284454,237022.0
6,7,1,7,12522,0.23,1664,1.0,SUWANNEE,250000,1995,100,1400.0,1970,2025,0,-82.52794262,29.80953005,03043-032-000,0,312.0,0,29,54,0,0,1,604,233208.01,2,2.0,8.0,Alachua_Main,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7843878548231532,True,0.71,12.240849200797994,207077.66617644034,207681.66617644034,0.8307266647057614,211896.0
7,8,1,8,12558,0.23,1476,1.0,SUWANNEE,285900,2010,100,1476.0,1976,2025,0,-82.52764105999998,29.80791122,03043-068-000,0,156.0,0,14,48,0,0,2,7648,233208.01,1,2.0,8.0,Alachua_Main,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7843878548231532,True,0.86,12.369946558173778,235613.1533059418,243261.1533059418,0.8508609769357881,235366.99999999997
8,9,1,9,12580,0.6,1508,1.0,SUWANNEE,260000,2004,100,1508.0,1973,2025,0,-82.52702988999998,29.80561215,03044-001-001,0,36.0,0,20,51,0,0,1,4939,233200.0,1,2.0,8.0,Alachua_Main,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.046229186495182,False,0.8,12.29031752934938,217579.0538280789,222518.0538280789,0.8558386685695343,216061.0
10,11,1,11,12707,0.19,1872,1.0,ALACHUA,395000,2015,100,1872.0,2015,2025,0,-82.52004427,29.80775123,03053-010-041,0,208.0,462,9,9,0,0,2,1882,233208.02,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6479725757234742,True,0.91,12.629238734816083,305357.5716027952,307239.5716027952,0.777821700260241,333868.0
11,12,1,12,12711,0.19,1565,1.0,ALACHUA,349900,2015,100,1565.0,2015,2025,0,-82.52173727,29.80696425,03053-010-045,0,266.0,440,9,9,0,0,2,1148,233208.02,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6479725757234742,True,0.91,12.529253432146305,276303.0175536522,277451.0175536522,0.7929437483671111,296267.0
12,13,1,13,12883,0.71,825,1.0,ALACHUA,120000,1995,100,825.0,1967,2025,0,-82.49660727,29.80755716,03068-011-000,0,72.0,0,29,57,0,0,1,672,233210.01,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.4213712040192985,True,0.71,11.920562311571954,150326.11476385195,150998.11476385195,1.2583176230320996,101328.0
17,18,1,18,13432,0.24,1104,1.0,ALACHUA,210000,1995,100,960.0,1978,2025,0,-82.47667185,29.79022968,03195-003-008,0,444.0,0,29,46,0,0,1,5220,233213.02,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8184916745980727,True,0.71,12.015532022000865,165302.43624104912,170522.43624104912,0.812011601147853,173280.0
