prop_id,legal_acreage,yr_blt,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,abs_subdv_cd
1058,7.93,2000,2412,AC,3,492600,SUWANNEE,0
1143,6.41,1975,2210,AC,3,433100,SUWANNEE,0
1278,7.98,1998,2496,AC,4,961100,SUWANNEE,0
1311,1.28,1988,1636,AC,3,252800,SUWANNEE,33400
1358,1.29,2005,2587,AC,4,544500,HIGH SPRINGS,237800
1430,1.2,1974,2250,AC,3,427400,HIGH SPRINGS,0
1610,1.19,2001,1436,LT,3,292100,HIGH SPRINGS,167000
1788,0.17,2023,1202,LT,3,244400,HIGH SPRINGS,180901
1789,0.17,2023,1209,LT,3,255000,HIGH SPRINGS,180901
1926,1.52,2005,2112,AC,4,427200,HIGH SPRINGS,0
2047,0.2,2014,1772,LT,3,331700,HIGH SPRINGS,247500
2060,0.2,2017,1441,LT,3,302900,HIGH SPRINGS,247500
2092,0.19,2012,1968,LT,3,355000,HIGH SPRINGS,247500
2247,2.71,1996,1570,LT,3,308700,HIGH SPRINGS,182400
2388,0.36,2005,1485,LT,3,266000,HIGH SPRINGS,94002
2395,0.23,2005,1507,LT,3,270300,HIGH SPRINGS,94002
2409,5.61,1995,1936,AC,4,475300,HIGH SPRINGS,182500
2532,0.46,1999,1160,LT,3,250500,HIGH SPRINGS,178700
2598,0.17,2006,1194,UN,3,238800,HIGH SPRINGS,73000
2927,0.34,1951,1464,LT,3,225300,HIGH SPRINGS,64600
2928,0.34,1977,1312,LT,3,243500,HIGH SPRINGS,64600
2950,0.34,1994,1316,UN,3,243900,HIGH SPRINGS,64600
3033,0.34,1948,1240,UN,3,96400,HIGH SPRINGS,64600
3037,1.19,1930,1477,LT,3,181500,HIGH SPRINGS,64600
3055,0.36,1955,1248,SF,3,291300,HIGH SPRINGS,93500
3234,0.34,1954,1737,UN,3,269200,HIGH SPRINGS,64600
3242,0.45,1938,1380,UN,3,331400,HIGH SPRINGS,64600
3280,0.34,1927,1456,UN,4,286300,HIGH SPRINGS,64600
3316,0.34,1950,2370,UN,3,360400,HIGH SPRINGS,64600
3316,0.34,1950,2370,UN,3,100,HIGH SPRINGS,64600
3354,0.73,1937,2785,UN,3,402900,HIGH SPRINGS,64600
3371,0.34,1991,832,UN,3,149800,HIGH SPRINGS,64600
3389,0.28,1961,2066,UN,3,297000,HIGH SPRINGS,64600
3405,0.34,1948,1172,UN,3,171500,HIGH SPRINGS,64600
3432,0.2,1914,1442,SF,3,142000,HIGH SPRINGS,64600
3465,0.23,1978,1084,UN,3,192200,HIGH SPRINGS,152700
3500,0.68,1930,1372,SF,3,218000,HIGH SPRINGS,64600
3517,0.11,1929,702,UN,3,109900,HIGH SPRINGS,64600
3557,0.34,1997,1058,UN,3,211200,HIGH SPRINGS,94500
3586,0.2,1929,1248,UN,3,141100,HIGH SPRINGS,94900
3705,0.11,2022,1200,UN,3,231300,HIGH SPRINGS,71600
3782,0.18,1929,839,UN,3,145100,HIGH SPRINGS,171900
3826,0.17,1940,1580,SF,3,178500,HIGH SPRINGS,171900
3836,0.92,1919,1115,LT,3,87400,HIGH SPRINGS,171900
3886,0.34,1986,1344,LT,3,206100,HIGH SPRINGS,45800
3929,0.34,1990,984,LT,3,151100,HIGH SPRINGS,45800
3947,0.23,2007,1524,LT,3,290700,HIGH SPRINGS,45800
3969,0.3,1920,896,LT,3,153000,HIGH SPRINGS,45800
4176,0.5,1920,1398,UN,3,359800,HIGH SPRINGS,0
4181,0.31,2006,1504,LT,3,235500,HIGH SPRINGS,180500
4211,0.28,2001,1477,LT,3,278400,HIGH SPRINGS,180500
4356,0.29,2006,1328,LT,3,242900,HIGH SPRINGS,180502
4499,0.35,1982,1308,UN,3,248000,HIGH SPRINGS,8905
4506,12.85,1995,2118,AC,4,468100,SUWANNEE,0
4621,0.43,1954,1058,FF,3,258600,SUWANNEE,160100
4703,1.01,2009,1981,LT,3,441000,HIGH SPRINGS,232400
4729,1.79,2021,3186,LT,5,750200,HIGH SPRINGS,232400
4848,1.02,2005,1873,LT,3,443500,HIGH SPRINGS,228700
4881,1.04,2005,2058,LT,3,445500,HIGH SPRINGS,228700
4921,1.56,2016,1525,LT,4,396000,HIGH SPRINGS,227601
5049,0.34,1965,1075,LT,3,191800,HIGH SPRINGS,180500
5091,0.5,1985,1690,LT,3,273900,HIGH SPRINGS,180500
5104,0.7,1964,1284,LT,3,182000,HIGH SPRINGS,180500
5117,0.34,1973,1289,LT,3,220000,HIGH SPRINGS,180500
5119,0.35,1965,1360,LT,3,230600,HIGH SPRINGS,180500
5136,0.23,1984,1352,LT,3,206900,HIGH SPRINGS,180500
5235,2.03,1961,840,AC,3,225200,SUWANNEE,0
5251,0.77,2002,2153,LT,3,321000,HIGH SPRINGS,228100
5253,1,2004,1779,LT,3,460000,HIGH SPRINGS,228100
5259,1,2004,1930,LT,3,455100,HIGH SPRINGS,228100
5276,1.34,2005,2080,LT,3,470300,HIGH SPRINGS,228100
5317,1.41,2005,2808,LT,3,567300,HIGH SPRINGS,236000
5333,1,2004,1551,LT,3,346400,HIGH SPRINGS,236000
5541,5.01,2005,1612,AC,3,415200,HIGH SPRINGS,183300
5709,5,2001,1886,AC,3,345100,HIGH SPRINGS,146000
5805,0.63,2021,1758,UN,3,349200,SUWANNEE,191800
5865,7.46,1970,2165,AC,3,212100,SUWANNEE,0
5952,5.1,1985,1712,AC,3,341900,SUWANNEE,0
5983,4.03,1978,1862,AC,3,383000,SUWANNEE,0
6052,5,2009,3348,AC,4,743600,SUWANNEE,151000
6353,7.5,1995,2166,AC,4,577500,SUWANNEE,0
6396,5,1977,1425,AC,3,325700,SUWANNEE,0
6564,1,1961,1112,AC,3,168800,SUWANNEE,0
6592,2.1,2008,2842,AC,4,486200,SUWANNEE,113800
6875,1.77,1978,2533,AC,3,394500,SUWANNEE,0
6909,3.88,2007,2462,AC,4,657900,SUWANNEE,47700
7004,4.68,2001,1200,AC,3,329600,SUWANNEE,29800
7339,1,1960,1182,UN,3,163700,NEWBERRY,138501
7370,1.71,1929,1228,AC,3,200800,SUWANNEE,0
7662,0.2,2005,1661,LT,3,291300,NEWBERRY,241900
7668,0.2,2005,1369,LT,3,272000,NEWBERRY,241900
7675,0.23,2006,1716,LT,3,306300,NEWBERRY,241900
7686,0.19,2006,1705,LT,3,295500,NEWBERRY,241900
7697,0.18,2005,1513,LT,3,303800,NEWBERRY,241900
7711,0.2,2005,1562,LT,3,311100,NEWBERRY,241900
7721,0.24,2006,2315,LT,3,362600,NEWBERRY,241901
7722,0.25,2006,1663,LT,3,335200,NEWBERRY,241901
7733,0.23,2006,1607,LT,3,320500,NEWBERRY,241901
7739,0.32,2006,1707,LT,3,360400,NEWBERRY,241901
7772,0.19,2006,1628,LT,3,293000,NEWBERRY,241901
7804,0.2,2009,1626,LT,3,312100,NEWBERRY,241902
7815,0.21,2016,1468,LT,3,313000,NEWBERRY,241902
7916,0.23,2004,1453,LT,3,271400,NEWBERRY,236101
7921,0.3,2003,1523,LT,3,275000,NEWBERRY,236101
8323,5,2007,2544,AC,3,492000,NEWBERRY,0
8363,0.22,2008,3896,LT,2,424900,NEWBERRY,249400
8407,0.18,2012,3002,LT,2,355300,NEWBERRY,249400
8586,0.54,1964,960,LT,3,190600,NEWBERRY,0
8619,0.26,1975,1236,UN,3,193800,NEWBERRY,124000
8705,0.32,2003,1732,LT,3,308700,NEWBERRY,7900
8719,0.72,1970,2290,UN,3,384900,NEWBERRY,0
8725,0.22,1984,1056,UN,3,208400,NEWBERRY,21100
8729,0.22,1979,1056,UN,3,186800,NEWBERRY,21100
8815,0.46,1954,1949,UN,3,222200,NEWBERRY,36800
8830,0.22,2004,1191,UN,3,215700,NEWBERRY,36800
8913,0.29,1981,1333,UN,3,208100,NEWBERRY,138300
8948,0.44,1900,2240,UN,3,210200,NEWBERRY,138300
9031,0.28,1929,2028,LT,3,191300,NEWBERRY,138300
9064,0.24,1917,3172,LT,3,296400,NEWBERRY,138300
9092,0.48,1988,1977,LT,3,332200,NEWBERRY,138300
9115,0.42,1999,1532,UN,3,346500,NEWBERRY,138400
9289,0.56,1959,992,UN,2,96600,NEWBERRY,12000
9356,0.16,2015,1221,LT,3,228500,NEWBERRY,246200
9429,0.47,1978,1162,UN,3,199300,NEWBERRY,139000
9492,0.36,1992,1344,LT,3,202000,NEWBERRY,20700
9502,0.24,1994,1152,LT,3,202500,NEWBERRY,20800
9688,0.25,2008,1477,LT,3,305300,NEWBERRY,247100
9705,0.27,2007,1633,LT,3,308700,NEWBERRY,247100
9706,0.2,2007,1501,LT,3,304700,NEWBERRY,247100
9720,0.23,2010,1635,LT,3,292500,NEWBERRY,247101
9749,0.24,2012,1419,LT,3,300000,NEWBERRY,247101
9766,6.64,2009,1752,AC,3,488000,NEWBERRY,0
9798,0.28,1992,1491,UN,3,303400,NEWBERRY,165300
9812,0.34,1996,1567,UN,3,291300,NEWBERRY,165300
9829,0.31,1985,1368,LT,3,250500,NEWBERRY,165300
9875,0.3,1997,1520,UN,3,292500,NEWBERRY,165300
9887,0.3,2004,1617,LT,3,344000,NEWBERRY,165300
9953,0.3,2005,1770,LT,3,251800,NEWBERRY,165300
10172,10.86,2015,2051,AC,3,888800,NEWBERRY,0
10217,5,1995,2064,AC,3,203300,NEWBERRY,0
10286,7.39,2006,1908,AC,3,411400,NEWBERRY,0
10632,5,2001,2110,AC,3,443300,NEWBERRY,0
10722,10.67,1982,1026,AC,5,523100,NEWBERRY,0
10757,9.8,2007,2105,AC,3,522800,SUWANNEE,0
10799,5,1975,1628,AC,3,251200,SUWANNEE,0
11009,9.68,1991,2300,AC,4,455900,SUWANNEE,0
11174,5.84,2003,2112,AC,3,450500,SUWANNEE,150600
11368,32.76,1991,2276,AC,3,507300,SUWANNEE,16600
11480,5.5,2016,1756,AC,3,367000,SUWANNEE,0
11608,5.69,2008,1832,AC,3,292800,SUWANNEE,0
11634,6.28,2006,2582,AC,4,580700,SUWANNEE,0
11701,21.69,2004,1665,AC,3,615000,SUWANNEE,0
12230,1.07,2000,2645,LT,4,488100,ALACHUA,123801
12236,1.07,2002,2176,LT,4,462200,ALACHUA,123801
12247,1.03,2004,1609,LT,3,419900,ALACHUA,123802
12252,1.52,2004,2433,LT,4,571700,ALACHUA,123802
12254,1.05,2000,2694,LT,4,535500,ALACHUA,123802
12344,0.15,2016,1435,LT,3,291500,HIGH SPRINGS,246700
12359,0.14,2007,1609,LT,3,300400,HIGH SPRINGS,246700
12366,0.17,2016,1369,LT,3,288500,HIGH SPRINGS,246700
12375,0.15,2015,1826,LT,3,362600,HIGH SPRINGS,246700
12379,0.14,2010,1462,LT,3,293600,HIGH SPRINGS,246700
12380,0.14,2017,1787,LT,3,315600,HIGH SPRINGS,246700
12410,0.16,2012,1607,LT,3,313500,HIGH SPRINGS,246700
12494,0.4,2006,1877,LT,3,311200,SUWANNEE,172900
12544,0.23,1976,2268,LT,3,285700,SUWANNEE,172900
12558,0.23,1976,1476,LT,3,262200,SUWANNEE,172900
12562,0.23,1968,1844,LT,3,208100,SUWANNEE,172900
12580,0.6,1973,1508,AC,3,255400,SUWANNEE,0
12641,5.3,1984,3090,AC,4,750800,ALACHUA,0
12642,5.3,1990,1838,AC,3,535000,ALACHUA,0
12682,0.26,2006,2600,LT,3,397600,ALACHUA,238900
12698,0.2,2014,2166,LT,3,421400,ALACHUA,238900
12704,0.19,2014,1562,LT,3,335900,ALACHUA,238900
12718,0.18,2015,1496,LT,3,340200,ALACHUA,238900
12968,20.68,1985,4691,AC,4,1568000,ALACHUA,0
13408,0.2,1991,966,UN,3,182800,ALACHUA,2300
13444,0.29,1984,1032,UN,3,178200,ALACHUA,2300
13465,0.21,1983,1320,UN,3,257300,ALACHUA,2300
13549,2,1957,2433,AC,3,216300,ALACHUA,0
13721,0.18,2015,1220,LT,3,225900,ALACHUA,245700
13776,0.29,1984,1107,UN,3,204800,ALACHUA,2500
13780,0.17,1985,1107,UN,3,208300,ALACHUA,2500
13796,0.17,1983,1260,UN,3,173600,ALACHUA,2500
13979,0.31,1976,1352,UN,3,244600,ALACHUA,212900
14043,0.12,1960,716,LT,2,32200,ALACHUA,2400
14232,0.15,2021,1200,UN,3,219500,ALACHUA,197300
14255,0.21,1957,1040,UN,3,150600,ALACHUA,3100
14400,0.17,1975,1232,UN,3,168000,ALACHUA,98700
14521,1,2001,1360,AC,3,300300,ALACHUA,29400
14543,0.25,2003,1619,LT,3,284100,ALACHUA,232200
