prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,in_subdivision,percent_good,Market_Cluster_ID
1613,1.0,2447,1.0,HIGH SPRINGS,384500,2000,100,2447.0,2000,2022,0,0.0,166.0,0.0,21,21,0,0,2.0,1885,324940.0,1.2101046212495505,-82.613159,29.840261,00181-100-017,True,0.79,Cluster_0_sub3
1918,0.39,1736,1.0,HIGH SPRINGS,265400,2003,100,1735.5,2003,2022,0,0.0,619.5,528.0,18,18,0,0,2.0,1102,224488.0,0.47194080228732477,-82.59068,29.83943,00236-001-006,True,0.8200000000000001,Cluster_3_sub2
1951,1.99,1867,1.0,HIGH SPRINGS,419400,2003,100,1867.0,1988,2022,0,0.0,216.0,273.0,18,33,0,0,2.0,9316,347174.0,2.4081081962866056,-82.587335,29.839017,00236-050-000,False,0.8200000000000001,Cluster_3_sub8
2247,2.71,1570,1.0,HIGH SPRINGS,308700,2006,100,1390.0,1996,2022,0,0.0,192.0,576.0,15,25,0,0,2.0,559,261835.99999999997,3.279383523586282,-82.568756,29.83027,00248-009-000,True,0.85,Cluster_3_sub8
2377,0.25,1465,1.0,HIGH SPRINGS,285400,2005,100,1465.0,2005,2022,0,0.0,214.0,412.0,16,16,0,0,2.0,1225,241364.99999999997,0.30252615531238763,-82.587945,29.83515,00257-200-005,True,0.84,Cluster_3_sub5
2409,5.61,1936,1.15,HIGH SPRINGS,475300,2016,100,1936.0,1995,2022,0,0.0,426.0,456.0,5,26,0,0,2.0,5468,398537.0,6.788686925209979,-82.578952,29.826687,00258-010-000,True,0.95,Cluster_2
2532,0.46,1160,1.0,HIGH SPRINGS,250500,2006,100,1160.0,1999,2022,0,0.0,120.0,462.0,15,22,0,0,2.0,1373,211552.0,0.5566481257747933,-82.583929,29.815145,00297-020-015,True,0.85,Cluster_3_sub5
2967,0.34,2044,1.0,HIGH SPRINGS,318600,1999,100,1044.0,1979,2022,0,1000.0,0.0,420.0,22,42,0,0,2.5,2707,268103.0,0.41143557122484725,-82.593134,29.83009,00500-003-000,True,0.78,Cluster_3_sub9
2976,0.33,1701,1.0,HIGH SPRINGS,344300,2000,100,1701.0,1985,2022,0,0.0,130.0,552.0,21,36,0,0,2.0,14564,278091.0,0.3993345250123517,-82.593825,29.830619,00509-000-000,True,0.79,Cluster_3_sub2
2985,0.41,1798,1.0,HIGH SPRINGS,312500,2005,100,1798.0,2005,2022,0,0.0,318.0,441.0,16,16,0,0,2.0,2826,262799.0,0.4961428947123157,-82.593281,29.831494,00512-004-000,True,0.84,Cluster_3_sub6
3310,0.68,2258,1.0,HIGH SPRINGS,263600,1976,100,2258.0,1961,2022,0,0.0,24.0,0.0,30,60,0,0,2.0,5986,218074.0,0.8228711424496945,-82.600323,29.833635,00762-006-000,True,0.7,Cluster_0_sub3
3354,0.73,2785,1.0,HIGH SPRINGS,402900,1997,100,2785.0,1937,2022,0,0.0,175.0,0.0,24,84,0,0,3.0,1182,341283.0,0.8833763735121719,-82.602829,29.830929,00799-000-000,True,0.76,Cluster_1_sub2
