tax_area_description,Market_Cluster_ID,actual_year_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median
ALACHUA,Alachua_Main,1920,3.0,3.0,0.9348500260689399,0.06048481038858327,0.8805935481508913,0.902242612227047,0.9238916763032028,0.961978265027964,1.0000648537527252,0.9238916763032028
ALACHUA,Alachua_Main,1920,4.0,1.0,0.7247101119066462,,0.7247101119066462,0.7247101119066462,0.7247101119066462,0.7247101119066462,0.7247101119066462,0.7247101119066462
ALACHUA,Alachua_Main,1935,3.0,1.0,1.1560292626300204,,1.1560292626300204,1.1560292626300204,1.1560292626300204,1.1560292626300204,1.1560292626300204,1.1560292626300204
ALACHUA,Alachua_Main,1937,2.0,1.0,1.5242527584781085,,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.5242527584781085
ALACHUA,Alachua_Main,1937,3.0,1.0,0.9033517778402916,,0.9033517778402916,0.9033517778402916,0.9033517778402916,0.9033517778402916,0.9033517778402916,0.9033517778402916
ALACHUA,Alachua_Main,1938,3.0,1.0,0.8667924368728995,,0.8667924368728995,0.8667924368728995,0.8667924368728995,0.8667924368728995,0.8667924368728995,0.8667924368728995
ALACHUA,Alachua_Main,1946,3.0,1.0,0.7752394533096182,,0.7752394533096182,0.7752394533096182,0.7752394533096182,0.7752394533096182,0.7752394533096182,0.7752394533096182
ALACHUA,Alachua_Main,1950,2.0,1.0,0.8934806852649027,,0.8934806852649027,0.8934806852649027,0.8934806852649027,0.8934806852649027,0.8934806852649027,0.8934806852649027
ALACHUA,Alachua_Main,1950,3.0,1.0,0.951025213379406,,0.951025213379406,0.951025213379406,0.951025213379406,0.951025213379406,0.951025213379406,0.951025213379406
ALACHUA,Alachua_Main,1952,3.0,1.0,0.8208972727568192,,0.8208972727568192,0.8208972727568192,0.8208972727568192,0.8208972727568192,0.8208972727568192,0.8208972727568192
ALACHUA,Alachua_Main,1955,3.0,1.0,0.8739404424043165,,0.8739404424043165,0.8739404424043165,0.8739404424043165,0.8739404424043165,0.8739404424043165,0.8739404424043165
ALACHUA,Alachua_Main,1957,3.0,1.0,0.948217554161252,,0.948217554161252,0.948217554161252,0.948217554161252,0.948217554161252,0.948217554161252,0.948217554161252
ALACHUA,Alachua_Main,1958,2.0,1.0,1.1638842454834062,,1.1638842454834062,1.1638842454834062,1.1638842454834062,1.1638842454834062,1.1638842454834062,1.1638842454834062
ALACHUA,Alachua_Main,1959,3.0,2.0,0.8231989321112578,0.11813478246736935,0.7396650263345833,0.7814319792229205,0.8231989321112578,0.8649658849995951,0.9067328378879324,0.8231989321112578
ALACHUA,Alachua_Main,1960,3.0,1.0,0.6421430760537764,,0.6421430760537764,0.6421430760537764,0.6421430760537764,0.6421430760537764,0.6421430760537764,0.6421430760537764
ALACHUA,Alachua_Main,1962,3.0,2.0,1.0690968080898615,0.2551500290920301,0.8886784922989421,0.9788876501944018,1.0690968080898615,1.1593059659853213,1.249515123880781,1.0690968080898615
ALACHUA,Alachua_Main,1963,3.0,1.0,1.0944862618524769,,1.0944862618524769,1.0944862618524769,1.0944862618524769,1.0944862618524769,1.0944862618524769,1.0944862618524769
ALACHUA,Alachua_Main,1964,3.0,2.0,0.9245902033257646,0.4702775666713341,0.5920537468925555,0.7583219751091601,0.9245902033257646,1.090858431542369,1.2571266597589736,0.9245902033257646
ALACHUA,Alachua_Main,1966,3.0,2.0,0.8112759546686483,0.13461532174749508,0.7160885478093856,0.7636822512390169,0.8112759546686483,0.8588696580982796,0.906463361527911,0.8112759546686483
ALACHUA,Alachua_Main,1972,3.0,2.0,0.9258318823061695,0.1402709345148076,0.8266453533073749,0.8762386178067721,0.9258318823061695,0.9754251468055668,1.025018411304964,0.9258318823061695
ALACHUA,Alachua_Main,1974,2.0,1.0,1.1625084230651812,,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.1625084230651812
ALACHUA,Alachua_Main,1975,3.0,4.0,0.8940330253626598,0.1541501890336904,0.7051188662005723,0.7997596697059881,0.9250569800100868,1.0193303356667585,1.0208992752298929,0.9250569800100868
ALACHUA,Alachua_Main,1976,3.0,4.0,0.8291349470656134,0.10730202314371926,0.7036604542064145,0.7928383691000728,0.8234416492665164,0.8597382272320572,0.9659960355230062,0.8234416492665164
ALACHUA,Alachua_Main,1977,3.0,9.0,0.8630912594708116,0.08587713223151729,0.7531157788468902,0.8004298270494247,0.878701765863372,0.9029813800074532,1.0274618064827423,0.878701765863372
ALACHUA,Alachua_Main,1978,3.0,3.0,0.8563827201899148,0.17214892651503755,0.7437140832067292,0.7573026097635632,0.7708911363203973,0.9127170386815076,1.0545429410426177,0.7708911363203973
ALACHUA,Alachua_Main,1979,3.0,4.0,0.8460699547613303,0.05016656953798401,0.7751192370045116,0.8283846728941552,0.8631182486389662,0.8808035305061414,0.882924084762877,0.8631182486389662
ALACHUA,Alachua_Main,1980,3.0,6.0,0.9204341492239054,0.11286979847281255,0.8194246128162775,0.8371511017206017,0.898668794355963,0.9501793914837204,1.121847899113442,0.898668794355963
