tax_area_description,Market_Cluster_ID,era_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median,PRD,COD,PRB
ALACHUA,Alachua_Main,1900s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1900s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1900s,3.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1900s,4.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1900s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1900s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1910s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1910s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1910s,3.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1910s,4.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1910s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1910s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1920s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1920s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1920s,3.0,3.0,228566.66666666666,42608.723676417874,197800.0,204250.0,210700.0,243950.0,277200.0,210700.0,0.9930625633267508,4.3104369868654695,"{'PRB': 0.21654468985343447, 'Sig': 0.3457104405502613}"
ALACHUA,Alachua_Main,1920s,4.0,1.0,500700.0,,500700.0,500700.0,500700.0,500700.0,500700.0,500700.0,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1920s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1920s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1930s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1930s,2.0,1.0,81600.0,,81600.0,81600.0,81600.0,81600.0,81600.0,81600.0,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1930s,3.0,3.0,228866.66666666666,122996.02974622122,132500.0,159600.0,186700.0,277050.0,367400.0,186700.0,1.0459392014186866,10.672727681222192,"{'PRB': -0.19295877535872574, 'Sig': 0.37825701166022}"
ALACHUA,Alachua_Main,1930s,4.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1930s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1930s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1940s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1940s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1940s,3.0,1.0,391100.0,,391100.0,391100.0,391100.0,391100.0,391100.0,391100.0,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1940s,4.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1940s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1940s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1950s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1950s,2.0,2.0,115800.0,10040.916292848975,108700.0,112250.0,115800.0,119350.0,122900.0,115800.0,0.9920059814299603,13.143198670162606,"{'PRB': 1.483965094333545, 'Sig': nan}"
ALACHUA,Alachua_Main,1950s,3.0,6.0,194300.0,51386.8465660231,150600.0,159875.0,172900.0,217275.0,281800.0,172900.0,1.0164196319084424,6.953790420065237,"{'PRB': -0.21329027521001231, 'Sig': 0.04381591897132304}"
ALACHUA,Alachua_Main,1950s,4.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1950s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1950s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1960s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1960s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1960s,3.0,8.0,233675.0,79882.08721073116,148700.0,189925.0,215750.0,247125.0,409800.0,215750.0,1.058404998409227,23.23810149610643,"{'PRB': -0.4254188657893112, 'Sig': 0.08871149098183477}"
ALACHUA,Alachua_Main,1960s,4.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1960s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1960s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1970s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1970s,2.0,1.0,117300.0,,117300.0,117300.0,117300.0,117300.0,117300.0,117300.0,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1970s,3.0,26.0,223888.46153846153,64252.93971125727,146300.0,185750.0,207550.0,246025.0,471700.0,207550.0,1.0104477602116932,9.940447300689364,"{'PRB': -0.12892264218283578, 'Sig': 0.06857095926808433}"
ALACHUA,Alachua_Main,1970s,4.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1970s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1970s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1980s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1980s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1980s,3.0,26.0,286780.76923076925,138367.88361243595,146100.0,201200.0,229700.0,300625.0,705000.0,229700.0,1.0494700697909238,11.290902798478308,"{'PRB': -0.18425141283261814, 'Sig': 7.891564731843189e-06}"
ALACHUA,Alachua_Main,1980s,4.0,5.0,493980.0,196560.6573045583,326200.0,340900.0,393800.0,658200.0,750800.0,393800.0,1.0486840044292665,11.904072146719859,"{'PRB': -0.2513325661463506, 'Sig': 0.10433920007513889}"
ALACHUA,Alachua_Main,1980s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1980s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1990s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1990s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,1990s,3.0,39.0,294682.0512820513,101219.23280888052,142900.0,261250.0,266600.0,299000.0,604500.0,266600.0,1.0173869641721192,7.341659486643036,"{'PRB': -0.12273977327503877, 'Sig': 7.796625198020813e-05}"
ALACHUA,Alachua_Main,1990s,4.0,11.0,539581.8181818182,222039.51818620856,329700.0,424900.0,529100.0,555550.0,1161500.0,529100.0,1.0457424037078529,13.050910660520778,"{'PRB': -0.24724039336261439, 'Sig': 0.013788716394733749}"
ALACHUA,Alachua_Main,1990s,5.0,1.0,427400.0,,427400.0,427400.0,427400.0,427400.0,427400.0,427400.0,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1990s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2000s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2000s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2000s,3.0,44.0,339063.63636363635,98914.18430253967,214900.0,266275.0,297700.0,403175.0,571700.0,297700.0,1.0167809306057354,9.221611877210089,"{'PRB': -0.14335586723878874, 'Sig': 0.0005020534869267325}"
ALACHUA,Alachua_Main,2000s,4.0,10.0,607180.0,152828.3626963413,434800.0,478700.0,561450.0,737900.0,870100.0,561450.0,1.0139694071217118,9.484811904448108,"{'PRB': -0.16450714313537868, 'Sig': 0.11858180294253051}"
ALACHUA,Alachua_Main,2000s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2000s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2010s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2010s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2010s,3.0,46.0,348167.39130434784,89484.56367030965,225400.0,272250.0,338050.0,429925.0,524300.0,338050.0,1.0185898925715509,9.637066399055058,"{'PRB': -0.21182400164597495, 'Sig': 6.879609747410501e-07}"
ALACHUA,Alachua_Main,2010s,4.0,4.0,539625.0,198037.78048645164,355700.0,389975.0,511000.0,660650.0,780800.0,511000.0,1.0312081264413608,9.00692856416736,"{'PRB': -0.19813069836772063, 'Sig': 0.246617175049254}"
ALACHUA,Alachua_Main,2010s,5.0,1.0,1078000.0,,1078000.0,1078000.0,1078000.0,1078000.0,1078000.0,1078000.0,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,2010s,6.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2020s,1.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2020s,2.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2020s,3.0,3.0,406966.6666666667,122581.90459171914,334600.0,336200.0,337800.0,443150.0,548500.0,337800.0,1.026642275839673,11.47071717348667,"{'PRB': -0.32620705622275137, 'Sig': 0.44754908024827583}"
ALACHUA,Alachua_Main,2020s,4.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2020s,5.0,,,,,,,,,,,,
ALACHUA,Alachua_Main,2020s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1900s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1900s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1900s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1900s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1900s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1900s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1910s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1910s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1910s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1910s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1910s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1910s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1920s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1920s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1920s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1920s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1920s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1920s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1930s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1930s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1930s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1930s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1930s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1930s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1940s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1940s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1940s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1940s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1940s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1940s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1950s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1950s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1950s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1950s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1950s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1950s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1960s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1960s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1960s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1960s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1960s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1960s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1970s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1970s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1970s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1970s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1970s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1970s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1980s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1980s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1980s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1980s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1980s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1980s,6.0,,,,,,,,,,,,
ALACHUA,Archer,1990s,1.0,,,,,,,,,,,,
ALACHUA,Archer,1990s,2.0,,,,,,,,,,,,
ALACHUA,Archer,1990s,3.0,,,,,,,,,,,,
ALACHUA,Archer,1990s,4.0,,,,,,,,,,,,
ALACHUA,Archer,1990s,5.0,,,,,,,,,,,,
ALACHUA,Archer,1990s,6.0,,,,,,,,,,,,
ALACHUA,Archer,2000s,1.0,,,,,,,,,,,,
ALACHUA,Archer,2000s,2.0,,,,,,,,,,,,
ALACHUA,Archer,2000s,3.0,,,,,,,,,,,,
ALACHUA,Archer,2000s,4.0,,,,,,,,,,,,
ALACHUA,Archer,2000s,5.0,,,,,,,,,,,,
ALACHUA,Archer,2000s,6.0,,,,,,,,,,,,
ALACHUA,Archer,2010s,1.0,,,,,,,,,,,,
ALACHUA,Archer,2010s,2.0,,,,,,,,,,,,
ALACHUA,Archer,2010s,3.0,,,,,,,,,,,,
ALACHUA,Archer,2010s,4.0,,,,,,,,,,,,
ALACHUA,Archer,2010s,5.0,,,,,,,,,,,,
ALACHUA,Archer,2010s,6.0,,,,,,,,,,,,
ALACHUA,Archer,2020s,1.0,,,,,,,,,,,,
ALACHUA,Archer,2020s,2.0,,,,,,,,,,,,
ALACHUA,Archer,2020s,3.0,,,,,,,,,,,,
ALACHUA,Archer,2020s,4.0,,,,,,,,,,,,
ALACHUA,Archer,2020s,5.0,,,,,,,,,,,,
ALACHUA,Archer,2020s,6.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,1.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,2.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,3.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,4.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,5.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,6.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,1.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,2.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,3.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,4.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,5.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,6.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1920s,1.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1920s,2.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1920s,3.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1920s,4.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1920s,5.0,,,,,,,,,,,,
ALACHUA,Buck_Bay,1920s,6.0,,,,,,,,,,,,
