actual_year_built,count,mean,std,min,25%,50%,75%,max,median
1900,18.0,0.8551173202582628,0.13563426820746846,0.6428409715771424,0.7476348762926929,0.8356752670338092,0.9377918680095882,1.1368420908282986,0.8356752670338092
1905,1.0,1.122906911490101,,1.122906911490101,1.122906911490101,1.122906911490101,1.122906911490101,1.122906911490101,1.122906911490101
1906,1.0,0.8649554865077733,,0.8649554865077733,0.8649554865077733,0.8649554865077733,0.8649554865077733,0.8649554865077733,0.8649554865077733
1907,2.0,0.7162184802850126,0.031230945853681184,0.6941348666890047,0.7051766734870086,0.7162184802850126,0.7272602870830165,0.7383020938810204,0.7162184802850126
1908,1.0,0.7495330902662872,,0.7495330902662872,0.7495330902662872,0.7495330902662872,0.7495330902662872,0.7495330902662872,0.7495330902662872
1910,1.0,0.8883160303617241,,0.8883160303617241,0.8883160303617241,0.8883160303617241,0.8883160303617241,0.8883160303617241,0.8883160303617241
1911,1.0,0.6425937673043953,,0.6425937673043953,0.6425937673043953,0.6425937673043953,0.6425937673043953,0.6425937673043953,0.6425937673043953
1914,2.0,0.9226483535631211,0.38431153428141246,0.650899061584528,0.7867737075738246,0.9226483535631211,1.0585229995524177,1.1943976455417142,0.9226483535631211
1915,1.0,0.7264449254270402,,0.7264449254270402,0.7264449254270402,0.7264449254270402,0.7264449254270402,0.7264449254270402,0.7264449254270402
1917,3.0,0.8619586539379115,0.16406010253713277,0.713422781382421,0.7739116762444349,0.8344005711064487,0.9362265902156568,1.038052609324865,0.8344005711064487
1918,1.0,0.7931140266518151,,0.7931140266518151,0.7931140266518151,0.7931140266518151,0.7931140266518151,0.7931140266518151,0.7931140266518151
1920,21.0,0.900220436289757,0.20596966357036794,0.4973919085237299,0.7923572167221449,0.9101495636808375,1.0000648537527252,1.3113187376644695,0.9101495636808375
1921,1.0,0.5744779453336653,,0.5744779453336653,0.5744779453336653,0.5744779453336653,0.5744779453336653,0.5744779453336653,0.5744779453336653
1922,4.0,0.6986310112872332,0.07294187142629814,0.602949683364872,0.6777650371836583,0.7055626670717667,0.7264286411753416,0.7804490276405273,0.7055626670717667
1924,2.0,0.7652481037207819,0.06685370153648129,0.7179753980169145,0.7416117508688482,0.7652481037207819,0.7888844565727156,0.8125208094246493,0.7652481037207819
1925,4.0,0.8057108622044591,0.09514600002056385,0.7001399213003782,0.753557394565764,0.7984051984420559,0.850558666080751,0.925893130633346,0.7984051984420559
1926,4.0,0.8893686302424758,0.09515342305116631,0.8135826866217316,0.8343737129891913,0.8584847329428893,0.9134796501961738,1.026922368462393,0.8584847329428893
1927,10.0,0.786152993170844,0.13873814282040878,0.5160468611804044,0.7375199777642374,0.8153712553443098,0.8914032850178546,0.9253625224515694,0.8153712553443098
1928,3.0,0.8913432512137378,0.06373900727610947,0.8469199850084039,0.854827834541183,0.8627356840739622,0.9135548843164047,0.9643740845588472,0.8627356840739622
1929,19.0,0.8879684656201936,0.15427859444120076,0.6691916529330463,0.7712275636932651,0.8643477208365831,0.987599247369763,1.1814208438865312,0.8643477208365831
1930,32.0,0.8279408726772184,0.15141234064367962,0.5905160360964505,0.7228421994794941,0.788029243269645,0.9124659603857614,1.1665287690483528,0.788029243269645
