prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C
1058,7.93,2412,1.0,SUWANNEE,492600,43625,2000,100,558.0,0.0,24,375085.0,11.309838536036334,-82.556669,29.881192,00016-003-001,HighSprings_B,False,False,0.76,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1143,6.41,2210,1.0,SUWANNEE,433100,50534,2004,100,1034.0,0.0,20,317601.0,9.142000632533785,-82.580602,29.85889,00056-003-002,HighSprings_B,False,False,0.8,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1199,10.1,2042,1.0,SUWANNEE,451800,31386,1997,100,142.0,0.0,27,352644.0,14.404712385115634,-82.572413,29.866443,00063-012-001,HighSprings_B,False,False,0.73,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1270,2.57,2809,1.15,SUWANNEE,625300,30664,2012,100,424.0,810.0,12,500840.99999999994,3.6653575078957603,-82.573637,29.851039,00067-010-009,HighSprings_B,True,False,0.88,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1278,7.98,2496,1.15,SUWANNEE,961100,40237,2009,100,1144.0,1395.0,15,776698.0,11.381148993388393,-82.570565,29.848695,00068-001-000,HighSprings_B,False,False,0.85,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1302,5.01,1784,1.0,SUWANNEE,375400,2656,2005,100,61.0,440.0,19,316434.0,7.14530782667617,-82.56162,29.85113,00071-007-000,HighSprings_B,False,False,0.81,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1307,2.0,2508,1.15,SUWANNEE,535500,50578,2005,100,282.0,506.0,19,404597.0,2.852418294082304,-82.575898,29.854221,00074-010-001,HighSprings_B,True,False,0.81,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1311,1.28,1636,1.0,SUWANNEE,252800,8758,1998,100,158.0,0.0,26,206122.0,1.8255477082126745,-82.578563,29.852591,00074-010-005,HighSprings_B,True,False,0.74,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1358,1.29,2587,1.15,HIGH SPRINGS,544500,10274,2015,100,488.5,529.0,9,452551.0,1.839809799683086,-82.611009,29.84699,00090-010-004,HighSprings_B,True,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1359,3.89,2468,1.15,HIGH SPRINGS,481700,23270,2005,100,310.0,575.0,19,386175.0,5.547953581990081,-82.611987,29.846721,00090-010-005,HighSprings_B,True,False,0.81,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1367,3.5,2297,1.15,HIGH SPRINGS,573800,26124,2011,100,636.0,576.0,13,461606.0,4.991732014644032,-82.611772,29.842352,00090-010-013,HighSprings_B,True,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1416,1.07,2260,1.0,HIGH SPRINGS,199700,6919,1994,100,480.0,320.0,30,162826.0,1.5260437873340327,-82.583832,29.847818,00146-002-001,HighSprings_B,False,False,0.7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1430,1.2,2250,1.0,HIGH SPRINGS,427400,20850,2010,100,192.0,371.0,14,342440.0,1.7114509764493822,-82.58572,29.844898,00146-032-000,HighSprings_B,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1473,6.48,1416,1.0,HIGH SPRINGS,495500,6240,2010,100,0.0,288.0,14,414935.0,9.241835272826666,-82.624925,29.846917,00155-010-012,HighSprings_B,True,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1523,2.25,2596,1.0,SUWANNEE,674100,464,2008,100,525.0,2004.0,16,572521.0,3.2089705808425917,-82.631114,29.840853,00165-004-000,HighSprings_B,False,False,0.84,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1526,1.35,1823,1.0,SUWANNEE,435600,7910,2015,100,124.0,441.0,9,362349.99999999994,1.9253823485055552,-82.632146,29.840313,00165-007-000,HighSprings_B,False,False,0.91,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1555,12.2,2553,1.0,SUWANNEE,669900,46579,2006,100,624.0,639.0,18,522835.99999999994,17.399751593902053,-82.634435,29.830767,00165-020-020,HighSprings_B,True,False,0.8200000000000001,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1610,1.19,1436,1.0,HIGH SPRINGS,292100,2916,2012,100,64.0,300.0,12,245369.0,1.6971888849789705,-82.613894,29.841391,00181-100-014,HighSprings_B,True,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1613,1.0,2447,1.0,HIGH SPRINGS,384500,12919,2000,100,1398.0,0.0,24,313906.0,1.426209147041152,-82.613159,29.840261,00181-100-017,HighSprings_B,True,False,0.76,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1624,1.0,1903,1.0,HIGH SPRINGS,357700,20905,2005,100,512.0,420.0,19,283140.0,1.426209147041152,-82.614138,29.84265,00181-100-028,HighSprings_B,True,False,0.81,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1628,1.0,2004,1.0,HIGH SPRINGS,443500,15700,2010,100,1392.0,1248.0,14,361275.0,1.426209147041152,-82.615078,29.843042,00181-100-032,HighSprings_B,True,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
